dim,rows,mode,dtype,round,method,median_ms
1,1,hadamard_int4,bf16,2,packed_pos_full,0.006889705
1,1,hadamard_int4,bf16,2,original_kwrow,0.0072377175
1,1,hadamard_int4,bf16,2,auto_kwrow,0.0073678075
1,1,hadamard_int4,bf16,2,packed_kwrow,0.007420164
2,4096,hadamard,bf16,3,original_pos3,0.005136058
2,4096,hadamard,bf16,3,original_pos_full,0.0051897455
2,4096,hadamard,bf16,3,auto_pos_full,0.005193343
2,4096,hadamard,bf16,3,packed_pos_full,0.005202734499999999
2,4096,hadamard,bf16,3,original_kwrow,0.00569695
2,4096,hadamard,bf16,3,auto_kwrow,0.0056904385000000005
2,4096,hadamard,bf16,3,packed_kwrow,0.005725299
4,17,hadamard_int4,fp16,3,original_pos3,0.0066338410000000006
4,17,hadamard_int4,fp16,3,original_pos_full,0.006616951
4,17,hadamard_int4,fp16,3,auto_pos_full,0.006655071
4,17,hadamard_int4,fp16,3,packed_pos_full,0.0066416835
4,17,hadamard_int4,fp16,3,original_kwrow,0.0071854894999999995
4,17,hadamard_int4,fp16,3,auto_kwrow,0.0072045600000000005
4,17,hadamard_int4,fp16,3,packed_kwrow,0.007259064500000001
16,65,hadamard_int4,fp16,3,original_pos3,0.006580954
16,65,hadamard_int4,fp16,3,original_pos_full,0.006595875
16,65,hadamard_int4,fp16,3,auto_pos_full,0.006586156
16,65,hadamard_int4,fp16,3,packed_pos_full,0.0065813085
16,65,hadamard_int4,fp16,3,original_kwrow,0.007166871500000001
16,65,hadamard_int4,fp16,3,auto_kwrow,0.0071928075
16,65,hadamard_int4,fp16,3,packed_kwrow,0.0071058104999999995
4,17,hadamard_int4,bf16,3,original_pos3,0.006627167999999999
4,17,hadamard_int4,bf16,3,original_pos_full,0.0066393745
4,17,hadamard_int4,bf16,3,auto_pos_full,0.0066921854999999995
4,17,hadamard_int4,bf16,3,packed_pos_full,0.0066809305000000005
4,17,hadamard_int4,bf16,3,original_kwrow,0.0072157335
4,17,hadamard_int4,bf16,3,auto_kwrow,0.0072689435000000005
4,17,hadamard_int4,bf16,3,packed_kwrow,0.007179044
16,4096,hadamard,fp16,3,original_pos3,0.0052260675
16,4096,hadamard,fp16,3,original_pos_full,0.005239494
16,4096,hadamard,fp16,3,auto_pos_full,0.0052481
