dim,rows,mode,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
4,257,hadamard_int4,bf16,1.0,True,1,0.0012016000226140022,0.0011504000052809716,0.0010607999749481678,0.0011504000052809716,7.78859787217403
2,4095,hadamard,fp16,1.0,False,1,0.0015287999995052814,0.001316749956458807,0.001527199987322092,0.0015287999995052814,0.1046580444601708
16,65,hadamard_int4,fp16,1.0,False,1,0.0011463999748229981,0.0011607999913394451,0.0011463999748229981,0.0011463999748229981,0.0
4,4096,hadamard,bf16,1.0,True,1,0.0015320000238716602,0.0013166749849915504,0.000940799992531538,0.0013166749849915504,28.547287428144198
2,4097,hadamard,fp16,1.0,True,1,0.0015296000055968761,0.001307199988514185,0.0009031999856233597,0.001307199988514185,30.905753246680145
64,65,hadamard_int4,bf16,1.0,False,1,0.001101549994200468,0.001125600002706051,0.0011008000001311302,0.001101549994200468,0.06808534095469332
2,16384,hadamard_int4,fp16,1.0,True,1,0.0032568000257015227,0.0031135749071836472,0.001157474983483553,0.0031135749071836472,62.824887212026795
256,17,hadamard,bf16,1.0,False,1,0.0010511999949812888,0.0011927999556064605,0.0010527499951422214,0.0010511999949812888,-0.14745054873788188
4,4096,hadamard,fp16,1.0,True,1,0.001532800029963255,0.0013128000311553479,0.0009336000308394432,0.0013128000311553479,28.88482566398055
2,1,hadamard_int4,bf16,1.0,True,1,0.0011095250025391578,0.001106400042772293,0.0010383999906480312,0.001106400042772293,6.146063764953857
8,4095,hadamard,bf16,1.0,False,1,0.001539199985563755,0.0013423999771475792,0.001539199985563755,0.001539199985563755,0.0
1,4096,hadamard_int4,bf16,1.0,True,1,0.0017527999356389047,0.001548799965530634,0.0009352000430226326,0.001548799965530634,39.617764473398346
16,65,hadamard_int4,bf16,1.0,False,1,0.0011552000418305398,0.001172799989581108,0.0011559000238776207,0.0011552000418305398,-0.060594011576720064
4,16384,hadamard,bf16,1.0,True,1,0.002950399927794933,0.0021304000169038773,0.0011296000331640244,0.0021304000169038773,46.977092367579
2,4096,hadamard,fp16,1.0,True,1,0.0015287999995052814,0.0013038749806582929,0.000892799999564886,0.0013038749806582929,31.52717761988696
16,4096,hadamard,fp16,1.0,True,1,0.0015552000142633915,0.0013343499973416328,0.0011455999687314034,0.0013343499973416328,14.145466255949934
16,4097,hadamard,bf16,1.0,True,1,0.001556800026446581,0.0013384000398218633,0.0011599250137805939,0.0013384000398218633,13.334953730651689
2,16384,hadamard_int4,bf16,1.0,True,1,0.003287924826145172,0.003143199905753136,0.00119439996778965,0.003143199905753136,62.00050892075023
8,63,hadamard_int4,fp16,1.0,False,1,0.0011408000253140926,0.001155999954789877,0.0011416000314056873,0.0011408000253140926,-0.07012675962856374
8,4096,hadamard,fp16,1.0,True,1,0.0015407999977469443,0.0013360000215470792,0.0010359999723732471,0.0013360000215470792,22.45509313887839
8,4096,hadamard_int4,fp16,1.0,True,1,0.0017918750643730163,0.0016279999166727067,0.0011632000096142292,0.0016279999166727067,28.550364302747123
2,1,hadamard_int4,fp16,1.0,True,1,0.0011039000004529954,0.0011008000001311302,0.0010320000350475312,0.0011008000001311302,6.249996827344062
4,256,hadamard_int4,fp16,1.0,True,1,0.001175200007855892,0.0011527249589562416,0.0009847999550402164,0.0011527249589562416,14.567655763095155
8,16384,hadamard,fp16,1.0,True,1,0.0029759999364614488,0.00218959990888834,0.0013256000354886055,0.00218959990888834,39.45925782570877
4,16384,hadamard_int4,fp16,1.0,True,1,0.003274400159716606,0.0031488001346588134,0.0013024000450968742,0.0031488001346588134,58.63821171876331
1,1,hadamard_int4,bf16,1.0,True,1,0.0010664000175893307,0.0010639999993145466,0.001000799983739853,0.0010639999993145466,5.939851091673742
2,4095,hadamard,bf16,1.0,False,1,0.0015296000055968761,0.0013079999946057797,0.0015279999934136868,0.0015296000055968761,0.10460330657262595
8,63,hadamard_int4,bf16,1.0,False,1,0.0011447999626398087,0.0011615999974310398,0.0011447999626398087,0.0011447999626398087,0.0
8,16384,hadamard,bf16,1.0,True,1,0.0029671499505639076,0.0021808000281453134,0.0013248000293970108,0.0021808000281453134,39.25165020638309
1,2,hadamard_int4,bf16,1.0,True,1,0.001077600009739399,0.0010743999853730201,0.0010111999697983264,0.0010743999853730201,5.882354470877182
2,16384,hadamard,bf16,1.0,True,1,0.0029543999582529066,0.0021407999098300933,0.0010263999924063683,0.0021407999098300933,52.05530476279638
4,4097,hadamard,fp16,1.0,True,1,0.0015231999568641186,0.0013039999641478062,0.0009576000273227691,0.0013039999641478062,26.56441306357069
4,4096,hadamard_int4,fp16,1.0,True,1,0.001791200041770935,0.0016256000846624375,0.0011024000123143196,0.0016256000846624375,32.185042144406786
4,16384,hadamard,fp16,1.0,True,1,0.0029551999643445013,0.0021328000351786614,0.001125600002706051,0.0021328000351786614,47.22430682012995
16,4096,hadamard_int4,bf16,1.0,False,1,0.0018136000260710716,0.0016631999984383582,0.0018144000321626663,0.0018136000260710716,-0.044111495373533316
2,4096,hadamard,bf16,1.0,True,1,0.0015391250140964984,0.0013191999867558479,0.0009056000038981437,0.0013191999867558479,31.352333763648797
16,16384,hadamard,bf16,1.0,True,1,0.0029928000643849374,0.002237525023519993,0.001621600054204464,0.002237525023519993,27.527065075973013
16,4095,hadamard,bf16,1.0,False,1,0.0015776000916957855,0.001360000018030405,0.0015768000856041908,0.0015776000916957855,0.05071032233110451
1,4095,hadamard,bf16,1.0,False,1,0.0015064000152051448,0.0012880000285804272,0.0015072000212967395,0.0015064000152051448,-0.053107148401454474
16,4095,hadamard,fp16,1.0,False,1,0.0015598749741911888,0.0013415999710559845,0.001559200044721365,0.0015598749741911888,0.0432681773213095
1,16384,hadamard_int4,fp16,1.0,True,1,0.003197599947452545,0.002988800033926964,0.0010031750425696373,0.002988800033926964,66.43552492029477
1,16384,hadamard_int4,bf16,1.0,True,1,0.003187200054526329,0.0029654750600457192,0.0009968000464141368,0.0029654750600457192,66.38649706267404
2,4096,hadamard_int4,bf16,1.0,True,1,0.0017976000905036925,0.00160559993237257,0.0010688000358641148,0.00160559993237257,33.43297951658695
1,16384,hadamard,bf16,1.0,True,1,0.0029424000531435013,0.0020982999354600906,0.000926399976015091,0.0020982999354600906,55.8499735733938
2,4096,hadamard_int4,fp16,1.0,True,1,0.0018055999651551246,0.0016023999080061913,0.0010680000297725201,0.0016023999080061913,33.34996935306903
8,16384,hadamard_int4,fp16,1.0,True,1,0.0033071998506784437,0.0032343998551368713,0.0014680000022053719,0.0032343998551368713,54.61290910355764
8,4097,hadamard,bf16,1.0,True,1,0.001541600003838539,0.001333600003272295,0.0010408000089228153,0.001333600003272295,21.95560840064693
8,64,hadamard_int4,fp16,1.0,True,1,0.0011575999669730663,0.0011607999913394451,0.0010048000141978264,0.0011575999669730663,13.199719863053094
4,256,hadamard_int4,bf16,1.0,True,1,0.001172799989581108,0.0011504000052809716,0.0010615999810397625,0.0011504000052809716,7.719056313766326
1,4096,hadamard_int4,fp16,1.0,True,1,0.00175199992954731,0.0015503999777138234,0.0009464000351727009,0.0015503999777138234,38.95768519242138
8,4096,hadamard_int4,bf16,1.0,True,1,0.0017952000722289085,0.0016496000811457635,0.0011632000096142292,0.0016496000811457635,29.48593887032881
8,16384,hadamard_int4,bf16,1.0,True,1,0.003314400091767311,0.0032232001423835753,0.0015056000091135501,0.0032232001423835753,53.28865901575227
8,4096,hadamard,bf16,1.0,True,1,0.0015432000160217284,0.0013376000337302686,0.0010408000089228153,0.0013376000337302686,22.18899651039512
1,4097,hadamard,bf16,1.0,True,1,0.001508800033479929,0.0012935999780893325,0.0008679999969899655,0.0012935999780893325,32.90043199660416
1,16384,hadamard,fp16,1.0,True,1,0.0029472000896930695,0.002094300091266632,0.0009224000386893749,0.002094300091266632,55.95664429678233
2,2,hadamard_int4,fp16,1.0,True,1,0.001110399980098009,0.0011087999679148196,0.0010383999906480312,0.0011087999679148196,6.349204482678772
4,4095,hadamard,fp16,1.0,False,1,0.0015391750261187554,0.0013159000314772128,0.001541600003838539,0.0015391750261187554,-0.15755048507373193
4,4096,hadamard_int4,bf16,1.0,True,1,0.0017904000356793403,0.0016351750120520592,0.0011271500028669835,0.0016351750120520592,31.06854039724659
64,65,hadamard_int4,fp16,1.0,False,2,0.0012055999599397183,0.001235199999064207,0.0012055999599397183,0.0012055999599397183,0.0
2,16384,hadamard_int4,bf16,1.0,True,2,0.0032639998942613603,0.0031358998268842695,0.0011951999738812446,0.0031358998268842695,61.886538478215435
