dim,rows,mode,dtype,round,comparison,baseline_ms,candidate_ms,reduction_percent
8,4096,hadamard_int4,fp16,3,auto_vs_original_positional,0.008151163999999999,0.0083351445,-2.2571070831110873
8,4096,hadamard_int4,fp16,3,auto_positional_vs_legacy,0.008186345000000001,0.0083351445,-1.817654887498632
2,4096,hadamard,fp16,3,remove_keyword_auto,0.0072885829999999995,0.006611571,9.288664202630326
2,4096,hadamard,fp16,3,auto_vs_original_positional,0.006523935000000001,0.006611571,-1.3432997109873002
2,4096,hadamard,fp16,3,auto_positional_vs_legacy,0.0065281390000000005,0.006611571,-1.278036512396552
1,1,hadamard_int4,bf16,3,remove_keyword_auto,0.0088717705,0.0081110265,8.57488367175414
1,1,hadamard_int4,bf16,3,auto_vs_original_positional,0.007992489,0.0081110265,-1.4831112060335716
1,1,hadamard_int4,bf16,3,auto_positional_vs_legacy,0.007959265,0.0081110265,-1.9067275684375273
16,65,hadamard_int4,bf16,3,remove_keyword_auto,0.0087535325,0.008105444,7.403736720004172
16,65,hadamard_int4,bf16,3,auto_vs_original_positional,0.0079931085,0.008105444,-1.405404418068379
16,65,hadamard_int4,bf16,3,auto_positional_vs_legacy,0.007928116,0.008105444,-2.2366978485178546
1,1,hadamard_int4,fp16,3,remove_keyword_auto,0.0087318115,0.00806834,7.598325960197383
1,1,hadamard_int4,fp16,3,auto_vs_original_positional,0.0080148145,0.00806834,-0.6678320502614188
1,1,hadamard_int4,fp16,3,auto_positional_vs_legacy,0.008049091999999999,0.00806834,-0.23913256302698915
16,4096,hadamard,bf16,3,remove_keyword_auto,0.00729511,0.0065807605,9.792169000878658
16,4096,hadamard,bf16,3,auto_vs_original_positional,0.0065623515,0.0065807605,-0.28052444310548985
16,4096,hadamard,bf16,3,auto_positional_vs_legacy,0.0065992705,0.0065807605,0.2804855476071122
8,4096,hadamard_int4,bf16,3,remove_keyword_auto,0.008834791,0.008176573500000001,7.4502894295971345
8,4096,hadamard_int4,bf16,3,auto_vs_original_positional,0.008047136,0.008176573500000001,-1.6084915179761072
8,4096,hadamard_int4,bf16,3,auto_positional_vs_legacy,0.0080950655,0.008176573500000001,-1.0068849967922011
