dim,rows,mode,dtype,round,comparison,baseline_ms,candidate_ms,reduction_percent
8,4096,hadamard_int4,fp16,3,packed_vs_original_positional,0.006654341,0.006638834,0.23303584832818913
2,4096,hadamard,fp16,3,auto_vs_original_positional,0.005164991,0.0052158225,-0.9841546674524748
2,4096,hadamard,fp16,3,auto_vs_original_keyword,0.005752542,0.005747031,0.09580112583272848
2,4096,hadamard,fp16,3,remove_keyword_auto,0.005747031,0.0052158225,9.243181392270195
2,4096,hadamard,fp16,3,original_keyword_vs_legacy,0.005158603,0.005752542,-11.513562877391426
2,4096,hadamard,fp16,3,auto_positional_vs_legacy,0.005158603,0.0052158225,-1.1092053410584057
2,4096,hadamard,fp16,3,packed_vs_original_positional,0.005164991,0.005161084,0.07564388785963327
1,1,hadamard_int4,bf16,3,auto_vs_original_positional,0.0066972805,0.0067031215,-0.08721450445445811
1,1,hadamard_int4,bf16,3,auto_vs_original_keyword,0.0072648185,0.00736981,-1.4452047219073672
1,1,hadamard_int4,bf16,3,remove_keyword_auto,0.00736981,0.0067031215,9.046210146530242
1,1,hadamard_int4,bf16,3,original_keyword_vs_legacy,0.0067291785,0.0072648185,-7.959961234495405
1,1,hadamard_int4,bf16,3,auto_positional_vs_legacy,0.0067291785,0.0067031215,0.387224086862914
1,1,hadamard_int4,bf16,3,packed_vs_original_positional,0.0066972805,0.0066619515,0.5275126224741467
16,65,hadamard_int4,bf16,3,auto_vs_original_positional,0.0066597115,0.0066576275,0.031292646836134086
16,65,hadamard_int4,bf16,3,auto_vs_original_keyword,0.007371440999999999,0.0074139635,-0.5768546475512837
16,65,hadamard_int4,bf16,3,remove_keyword_auto,0.0074139635,0.0066576275,10.201506926760562
16,65,hadamard_int4,bf16,3,original_keyword_vs_legacy,0.006648073,0.007371440999999999,-10.880867282895345
16,65,hadamard_int4,bf16,3,auto_positional_vs_legacy,0.006648073,0.0066576275,-0.14371833762956143
16,65,hadamard_int4,bf16,3,packed_vs_original_positional,0.0066597115,0.006735141,-1.1326241384480351
