partition,case_id,rows,n,dtype,scale,round,old_wmma_ms,four_warp_wmma_ms,warp128_ms,old_over_new,warp128_over_new,reduction_vs_old,reduction_vs_warp128
screen,n16_m17_fp16_normalized,17,16,fp16,normalized,3,0.0027335999906063077,0.0027289599180221557,0.0027142401039600373,1.0017003080747022,0.9946060717253822,0.0016974219344809693,-0.005423180521370252
screen,n16_m17_fp16_unit,17,16,fp16,unit,1,0.0019968000054359438,0.002027519941329956,0.001966080069541931,0.9848485160279797,0.9696970320559593,-0.015384583238372551,-0.031249933682680364
screen,n16_m17_fp16_unit,17,16,fp16,unit,2,0.0019968000054359438,0.0020377600193023683,0.0018535999953746794,0.9798994908730974,0.9096262453953059,-0.020512827401301115,-0.09935262429177083
screen,n16_m17_fp16_unit,17,16,fp16,unit,3,0.0019968000054359438,0.0020273599773645403,0.001889280006289482,0.9849262231326462,0.9318917347601215,-0.015304473079628567,-0.07308602780709306
holdout,n16_m64_bf16_normalized,64,16,bf16,normalized,1,0.001971200034022331,0.001971200034022331,0.001987679973244667,1.0,1.0083603586332677,0.0,0.008291042544154803
holdout,n16_m64_bf16_normalized,64,16,bf16,normalized,2,0.0019353599846363067,0.001965760067105293,0.00187391996383667,0.9845352019416325,0.9532801053366275,-0.01570771469406984,-0.049009618895670126
holdout,n16_m64_bf16_normalized,64,16,bf16,normalized,3,0.0019251200556755065,0.001955839991569519,0.0018883199989795684,0.984293226426278,0.9654777523309729,-0.015957413047277935,-0.03575664751018781
holdout,n16_m64_bf16_unit,64,16,bf16,unit,1,0.0019865599274635315,0.0019862399995326996,0.0019916799664497376,1.000161072141789,1.002738826586071,0.0001610462017325176,0.002731345903295379
holdout,n16_m64_bf16_unit,64,16,bf16,unit,2,0.0019251200556755065,0.001955839991569519,0.0018900799751281738,0.984293226426278,0.9663776092498372,-0.015957413047277935,-0.03479218726545463
holdout,n16_m64_bf16_unit,64,16,bf16,unit,3,0.0019251200556755065,0.001955839991569519,0.0018956800550222397,0.984293226426278,0.9692408700064454,-0.015957413047277935,-0.031735279583649856
holdout,n16_m64_fp16_normalized,64,16,fp16,normalized,1,0.002022399976849556,0.002027519941329956,0.002027519941329956,0.9974747649204172,1.0,-0.00253162803550655,0.0
holdout,n16_m64_fp16_normalized,64,16,fp16,normalized,2,0.0019251200556755065,0.001955839991569519,0.0019243200123310088,0.984293226426278,0.9838841728493258,-0.015957413047277935,-0.01637980119550342
holdout,n16_m64_fp16_normalized,64,16,fp16,normalized,3,0.0019246400147676468,0.001955839991569519,0.0019251200556755065,0.9840477866613029,0.984293226426278,-0.01621081166476679,-0.015957413047277935
holdout,n16_m64_fp16_unit,64,16,fp16,unit,1,0.002017280012369156,0.0020479999482631685,0.0019456000626087188,0.9850000309228205,0.9500000545696834,-0.015228394524136712,-0.052631518482348705
holdout,n16_m64_fp16_unit,64,16,fp16,unit,2,0.0020185599476099016,0.0020577599853277206,0.0018585599958896638,0.9809501409312438,0.9031957123967828,-0.01941980359029416,-0.10717974662028751
holdout,n16_m64_fp16_unit,64,16,fp16,unit,3,0.002017280012369156,0.0020479999482631685,0.00187391996383667,0.9850000309228205,0.9150000054569682,-0.015228394524136712,-0.09289616834546477
holdout,n16_m257_bf16_normalized,257,16,bf16,normalized,1,0.0019763199985027313,0.001967040002346039,0.0019968000054359438,1.0047177465357209,1.015129332933957,0.004695593913800811,0.014903847660701297
holdout,n16_m257_bf16_normalized,257,16,bf16,normalized,2,0.0018943999707698822,0.0019251200556755065,0.0019046400487422943,0.98404250954892,0.9893616988338808,-0.01621626128569864,-0.010752691537036618
holdout,n16_m257_bf16_normalized,257,16,bf16,normalized,3,0.0018943999707698822,0.0019251200556755065,0.0018943999707698822,0.98404250954892,0.98404250954892,-0.01621626128569864,-0.01621626128569864
holdout,n16_m257_bf16_unit,257,16,bf16,unit,1,0.0019763199985027313,0.0019763199985027313,0.0019865599274635315,1.0,1.0051813112089936,0.0,0.005154603603564456
holdout,n16_m257_bf16_unit,257,16,bf16,unit,2,0.001944960057735443,0.0019617599993944166,0.0019148799777030945,0.9914362910528507,0.9761030800374186,-0.008637679520541841,-0.02448196348449727
holdout,n16_m257_bf16_unit,257,16,bf16,unit,3,0.0019353599846363067,0.001955839991569519,0.0019147200137376785,0.9895287922215059,0.978975796584033,-0.010582014248404104,-0.02147571317833119
holdout,n16_m257_fp16_normalized,257,16,fp16,normalized,1,0.001966080069541931,0.0019758400321006776,0.0019968000054359438,0.9950603478013501,1.0106081327408787,-0.004964173489139911,0.010496781489486295
holdout,n16_m257_fp16_normalized,257,16,fp16,normalized,2,0.0019046400487422943,0.0019353599846363067,0.0019148799777030945,0.9841270171245246,0.989417985751596,-0.01612899818750435,-0.010695190911013785
holdout,n16_m257_fp16_normalized,257,16,fp16,normalized,3,0.0019046400487422943,0.001940320059657097,0.0019046400487422943,0.9816112755536279,0.9816112755536279,-0.018733204175961582,-0.018733204175961582
holdout,n16_m257_fp16_unit,257,16,fp16,unit,1,0.001960960030555725,0.001966080069541931,0.001955839991569519,0.9973958135960358,0.9947916271920718,-0.002610985897940621,-0.005235641983265982
holdout,n16_m257_fp16_unit,257,16,fp16,unit,2,0.0019353599846363067,0.001966080069541931,0.001884160041809082,0.9843749573674374,0.9583333207014629,-0.015873059869736528,-0.0434782746237381
holdout,n16_m257_fp16_unit,257,16,fp16,unit,3,0.0019353599846363067,0.001966080069541931,0.00187391996383667,0.9843749573674374,0.9531249478935346,-0.015873059869736528,-0.049180385226577306
screen,n16_m4096_bf16_normalized,4096,16,bf16,normalized,1,0.0020684799551963806,0.002088959962129593,0.0020319999754428867,0.9901960749346608,0.9727328490161016,-0.009900993665306279,-0.028031489849940305
screen,n16_m4096_bf16_normalized,4096,16,bf16,normalized,2,0.0020694400370121005,0.0020982400327920914,0.001966080069541931,0.9862742129928447,0.9370138967969754,-0.013916806123830838,-0.06722003101376828
screen,n16_m4096_bf16_normalized,4096,16,bf16,normalized,3,0.002077759951353073,0.002099200040102005,0.001975359991192818,0.9897865432834643,0.9410060753889994,-0.01031884782213166,-0.06269239503752755
screen,n16_m4096_bf16_unit,4096,16,bf16,unit,1,0.0020684799551963806,0.002088959962129593,0.001955839991569519,0.9901960749346608,0.9362745227417549,-0.009900993665306279,-0.0680628124661915
screen,n16_m4096_bf16_unit,4096,16,bf16,unit,2,0.0020684799551963806,0.002099200040102005,0.001955839991569519,0.9853658134914424,0.9317072952582834,-0.014851526517552172,-0.07329845444945748
screen,n16_m4096_bf16_unit,4096,16,bf16,unit,3,0.0020684799551963806,0.002088959962129593,0.001955839991569519,0.9901960749346608,0.9362745227417549,-0.009900993665306279,-0.0680628124661915
screen,n16_m4096_fp16_normalized,4096,16,fp16,normalized,1,0.0021001600474119184,0.002128319963812828,0.0019968000054359438,0.9867689459857051,0.9382047997420134,-0.013408462100596541,-0.0658653635911679
screen,n16_m4096_fp16_normalized,4096,16,fp16,normalized,2,0.002109439969062805,0.0021196800470352174,0.0019865599274635315,0.9951690454478095,0.9371980126161586,-0.004854405966794095,-0.06701037191546266
screen,n16_m4096_fp16_normalized,4096,16,fp16,normalized,3,0.002109439969062805,0.0021292799711227417,0.0019865599274635315,0.99068229526929,0.9329726266180225,-0.00940534092029699,-0.071842808105687
screen,n16_m4096_fp16_unit,4096,16,fp16,unit,1,0.002222079932689667,0.002242559939622879,0.002109439969062805,0.9908675765711502,0.9406392809360271,-0.009216593261081485,-0.06310678308575768
screen,n16_m4096_fp16_unit,4096,16,fp16,unit,2,0.002222079932689667,0.002242559939622879,0.0021196800470352174,0.9908675765711502,0.9452055258740037,-0.009216593261081485,-0.057970962532544856
screen,n16_m4096_fp16_unit,4096,16,fp16,unit,3,0.0022316800057888032,0.0022528000175952912,0.0021196800470352174,0.9906249948324165,0.9409091044387641,-0.009463727663331811,-0.06280191708473537
holdout,n32_m1_bf16_normalized,1,32,bf16,normalized,1,0.0019361600279808044,0.0019548800587654114,0.0019656000286340713,0.9904239491826269,1.0054836969770053,-0.009668638187996237,0.005453790045022222
holdout,n32_m1_bf16_normalized,1,32,bf16,normalized,2,0.00187391996383667,0.0019456000626087188,0.0018636800348758697,0.9631578451555259,0.9578947239429011,-0.03825141956718947,-0.043956058014167354
holdout,n32_m1_bf16_normalized,1,32,bf16,normalized,3,0.00187391996383667,0.001955360025167465,0.0018636800348758697,0.958350349663193,0.9531134987359969,-0.04345973302085682,-0.04919298837565833
holdout,n32_m1_bf16_unit,1,32,bf16,unit,1,0.002007039934396744,0.0020180799812078475,0.002017280012369156,0.9945294304914041,0.9996035990415936,-0.0055006612583530234,-0.0003965581544389529
holdout,n32_m1_bf16_unit,1,32,bf16,unit,2,0.0018943999707698822,0.001966080069541931,0.0018641600012779236,0.9635416177181688,0.9481607744043947,-0.037837890560628695,-0.05467345517237732
holdout,n32_m1_bf16_unit,1,32,bf16,unit,3,0.0018956799805164336,0.001966080069541931,0.0019046400487422943,0.9641926643191598,0.9687499905260972,-0.037137116891596156,-0.032258074611109855
holdout,n32_m1_fp16_normalized,1,32,fp16,normalized,1,0.002007039934396744,0.002007039934396744,0.0020174399763345716,1.0,1.0051817812688184,0.0,0.005155068829717169
holdout,n32_m1_fp16_normalized,1,32,fp16,normalized,2,0.0019046400487422943,0.0019651200622320176,0.0019046400487422943,0.9692232476518361,0.9692232476518361,-0.03175403852799419,-0.03175403852799419
holdout,n32_m1_fp16_normalized,1,32,fp16,normalized,3,0.0018943999707698822,0.001955839991569519,0.0019148799777030945,0.9685863766645181,0.979057584443012,-0.03243244391239508,-0.02139038182202757
holdout,n32_m1_fp16_unit,1,32,fp16,unit,1,0.001929600015282631,0.001960959956049919,0.0019300799816846848,0.9840078627457247,0.9842526236856782,-0.01625204214288667,-0.015999323685166766
