run_index,dtype,dim,rows,normalized,shape,scale,mode,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,dao,4,1.3618559837341309,1280,1.0639499872922897,0.0010639499872922898
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,dao,5,1.3629440069198608,1280,1.0648000054061413,0.0010648000054061413
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,original,1,1.5452159643173218,1280,1.2071999721229076,0.0012071999721229077
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,original,2,1.5411200523376465,1280,1.2040000408887863,0.0012040000408887863
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,original,3,1.5421439409255981,1280,1.2047999538481236,0.0012047999538481236
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,original,4,1.5441919565200806,1280,1.206399966031313,0.001206399966031313
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,original,5,1.5420160293579102,1280,1.2047000229358673,0.0012047000229358674
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,contiguous256,1,1.5974400043487549,1280,1.2480000033974648,0.0012480000033974648
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,contiguous256,2,1.6005120277404785,1280,1.2504000216722488,0.0012504000216722489
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,contiguous256,3,1.5974080562591553,1280,1.247975043952465,0.001247975043952465
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,contiguous256,4,1.5973119735717773,1280,1.247899979352951,0.001247899979352951
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,contiguous256,5,1.5953919887542725,1280,1.2463999912142754,0.0012463999912142754
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,dao,1,1.8708479404449463,1280,1.4615999534726143,0.0014615999534726143
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,dao,2,1.8718080520629883,1280,1.4623500406742096,0.0014623500406742095
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,dao,3,1.8708479404449463,1280,1.4615999534726143,0.0014615999534726143
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,dao,4,1.8626559972763062,1280,1.4551999978721142,0.0014551999978721143
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,dao,5,1.8698240518569946,1280,1.460800040513277,0.0014608000405132771
1,fp16,256,257,False,"[257, 256]",1.0,fused_int4,cuda_graph,original,1,2.096127986907959,1280,1.637599989771843,0.001637599989771843
1,fp16,256,257,False,"[257, 256]",1.0,fused_int4,cuda_graph,original,2,2.0951039791107178,1280,1.6367999836802483,0.0016367999836802483
1,fp16,256,257,False,"[257, 256]",1.0,fused_int4,cuda_graph,original,3,2.0951039791107178,1280,1.6367999836802483,0.0016367999836802483
1,fp16,256,257,False,"[257, 256]",1.0,fused_int4,cuda_graph,original,4,2.0950400829315186,1280,1.6367500647902489,0.0016367500647902489
1,fp16,256,257,False,"[257, 256]",1.0,fused_int4,cuda_graph,original,5,2.0940799713134766,1280,1.6359999775886536,0.0016359999775886537
1,fp16,256,257,False,"[257, 256]",1.0,fused_int4,cuda_graph,contiguous256,1,2.0008959770202637,1280,1.563199982047081,0.001563199982047081
1,fp16,256,257,False,"[257, 256]",1.0,fused_int4,cuda_graph,contiguous256,2,1.9988479614257812,1280,1.5615999698638916,0.0015615999698638916
1,fp16,256,257,False,"[257, 256]",1.0,fused_int4,cuda_graph,contiguous256,3,1.9957760572433472,1280,1.559200044721365,0.001559200044721365
1,fp16,256,257,False,"[257, 256]",1.0,fused_int4,cuda_graph,contiguous256,4,1.994752049446106,1280,1.5584000386297703,0.0015584000386297703
1,fp16,256,257,False,"[257, 256]",1.0,fused_int4,cuda_graph,contiguous256,5,1.9967999458312988,1280,1.5599999576807022,0.0015599999576807022
1,bf16,256,4096,False,"[4096, 256]",1.0,fused_int4,cuda_graph,original,1,4.340735912322998,1280,3.3911999315023422,0.0033911999315023424
1,bf16,256,4096,False,"[4096, 256]",1.0,fused_int4,cuda_graph,original,2,4.338687896728516,1280,3.389599919319153,0.003389599919319153
1,bf16,256,4096,False,"[4096, 256]",1.0,fused_int4,cuda_graph,original,3,4.331488132476807,1280,3.383975103497505,0.0033839751034975053
1,bf16,256,4096,False,"[4096, 256]",1.0,fused_int4,cuda_graph,original,4,4.335616111755371,1280,3.3872000873088837,0.0033872000873088836
1,bf16,256,4096,False,"[4096, 256]",1.0,fused_int4,cuda_graph,original,5,4.344831943511963,1280,3.394399955868721,0.003394399955868721
1,bf16,256,4096,False,"[4096, 256]",1.0,fused_int4,cuda_graph,contiguous256,1,3.9096319675445557,1280,3.054399974644184,0.003054399974644184
1,bf16,256,4096,False,"[4096, 256]",1.0,fused_int4,cuda_graph,contiguous256,2,3.92192006111145,1280,3.0640000477433205,0.0030640000477433205
1,bf16,256,4096,False,"[4096, 256]",1.0,fused_int4,cuda_graph,contiguous256,3,3.9086079597473145,1280,3.0535999685525894,0.0030535999685525894
1,bf16,256,4096,False,"[4096, 256]",1.0,fused_int4,cuda_graph,contiguous256,4,3.910655975341797,1280,3.055199980735779,0.003055199980735779
1,bf16,256,4096,False,"[4096, 256]",1.0,fused_int4,cuda_graph,contiguous256,5,3.9229440689086914,1280,3.064800053834915,0.003064800053834915
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,original,1,3.5921919345855713,1280,2.8063999488949776,0.0028063999488949776
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,original,2,3.5942399501800537,1280,2.807999961078167,0.002807999961078167
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,original,3,3.5973119735717773,1280,2.810399979352951,0.002810399979352951
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,original,4,3.6043519973754883,1280,2.8158999979496,0.0028158999979496003
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,original,5,3.600224018096924,1280,2.8126750141382217,0.0028126750141382216
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,contiguous256,1,3.270656108856201,1280,2.555200085043907,0.0025552000850439073
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,contiguous256,2,3.2624640464782715,1280,2.5488000363111496,0.0025488000363111498
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,contiguous256,3,3.264512062072754,1280,2.550400048494339,0.002550400048494339
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,contiguous256,4,3.260416030883789,1280,2.54720002412796,0.0025472000241279604
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,contiguous256,5,3.264512062072754,1280,2.550400048494339,0.002550400048494339
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,dao,1,4.302847862243652,1280,3.3615998923778534,0.0033615998923778533
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,dao,2,4.30079984664917,1280,3.359999880194664,0.003359999880194664
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,dao,3,4.299680233001709,1280,3.359125182032585,0.0033591251820325853
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,dao,4,4.2987518310546875,1280,3.3583998680114746,0.0033583998680114745
1,bf16,256,4096,False,"[4096, 256]",1.0,transform,cuda_graph,dao,5,4.30079984664917,1280,3.359999880194664,0.003359999880194664
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,original,1,11.315199851989746,1280,8.83999988436699,0.008839999884366989
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,original,2,11.323391914367676,1280,8.846399933099747,0.008846399933099746
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,original,3,11.315199851989746,1280,8.83999988436699,0.008839999884366989
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,original,4,11.315199851989746,1280,8.83999988436699,0.008839999884366989
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,original,5,11.325440406799316,1280,8.848000317811966,0.008848000317811966
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,contiguous256,1,11.34182357788086,1280,8.860799670219421,0.00886079967021942
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,contiguous256,2,11.339776039123535,1280,8.859200030565262,0.008859200030565261
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,contiguous256,3,11.34182357788086,1280,8.860799670219421,0.00886079967021942
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,contiguous256,4,11.345919609069824,1280,8.8639996945858,0.0088639996945858
