dtype,M,N,method,round,category,block_dim,off_median_ms,on_median_ms,off_over_on_ratio,latency_reduction_pct,improvement_ge5pct,regression_ge5pct
bf16,257,256,quant_only,1,control,32,0.118991994858,0.118907999992,1.0007063853231544,0.07058866951531803,False,False
bf16,4096,16,scalar_transform,1,control,32,0.228959989548,0.225135993958,1.016985269759723,1.6701588769064568,False,False
bf16,4096,16,vector_transform,1,vector_path,32,0.164403998852,0.111199998856,1.4784532422963175,32.3617432468266,True,False
bf16,4096,16,scalar_split,1,control,32,0.390851998329,0.387651991844,1.008254843396465,0.8187258856756335,False,False
bf16,4096,16,vector_split,1,vector_path,32,0.326331996918,0.273000001907,1.1953552917159613,16.34286417350645,True,False
bf16,4096,16,scalar_fused,1,control,32,0.329380011559,0.326083993912,1.010107879284285,1.0006732440743742,False,False
bf16,4096,16,vector_fused,1,vector_path,32,0.272831988335,0.224288010597,1.2164359013608788,17.792626896225492,True,False
bf16,4096,16,quant_only,1,control,32,0.162471997738,0.162463998795,1.0000492351724648,0.004923274848193649,False,False
bf16,4096,64,scalar_transform,1,control,32,0.907336044312,0.892035961151,1.0171518681166825,1.686264229985645,False,False
bf16,4096,64,vector_transform,1,vector_path,32,0.334331989288,0.13700799942,2.4402369985937864,59.02037381712264,True,False
bf16,4096,64,scalar_split,1,control,32,1.35565595627,1.33975200653,1.0118708161379744,1.1731553028954833,False,False
bf16,4096,64,vector_split,1,vector_path,32,0.782376003265,0.584848022461,1.337742410366399,25.2471931628372,True,False
bf16,4096,64,scalar_fused,1,control,32,1.26559200287,1.25778799057,1.0062045530395496,0.6166293941730658,False,False
bf16,4096,64,vector_fused,1,vector_path,32,0.729120016098,0.543887996674,1.340570155173007,25.404873729197313,True,False
bf16,4096,64,quant_only,1,control,32,0.44852399826,0.448347997665,1.0003925535430438,0.03923995052277656,False,False
bf16,4096,128,scalar_transform,1,control,32,1.95200405121,1.91882801056,1.017289741689938,1.699588719062089,False,False
bf16,4096,128,vector_transform,1,vector_path,32,0.551104021072,0.166147994995,3.3169465637462836,69.85179047109634,True,False
bf16,4096,128,scalar_split,1,control,32,2.79515991211,2.76159191132,1.012155308194669,1.2009331074249774,False,False
bf16,4096,128,vector_split,1,vector_path,32,1.3946559906,1.00937595367,1.3817012239385698,27.625453124411507,True,False
bf16,4096,128,scalar_fused,1,control,32,2.63829193115,2.62439994812,1.0052933940346827,0.5265521554297584,False,False
bf16,4096,128,vector_fused,1,vector_path,32,1.32652797699,0.957940006256,1.3847714557559658,27.785917608036897,True,False
bf16,4096,128,quant_only,1,control,32,0.843844032288,0.84359998703,1.0002892902581224,0.02892065934722802,False,False
bf16,4096,256,scalar_transform,1,control,32,4.2334438324,4.16179199219,1.0172165837082827,1.6925189761967157,False,False
bf16,4096,256,vector_transform,1,vector_path,32,0.989387989044,0.224095988274,4.415018745602375,77.3500395440889,True,False
bf16,4096,256,scalar_split,1,control,32,5.86269989014,5.79058799744,1.0124532936433883,1.2300116678542405,False,False
bf16,4096,256,vector_split,1,vector_path,32,2.61995601654,1.85294799805,1.4139393114632368,29.27560667613558,True,False
bf16,4096,256,scalar_fused,1,control,32,5.57375602722,5.54844818115,1.0045612476216286,0.4540537107545821,False,False
bf16,4096,256,vector_fused,1,vector_path,32,2.5354839325,1.7992559433,1.4091846921176154,29.03698105765851,True,False
bf16,4096,256,quant_only,1,control,32,1.62958393097,1.62956008911,1.0000146308566094,0.001463064255048732,False,False
bf16,16384,16,scalar_transform,1,control,32,0.902927970886,0.889260005951,1.0153700434558317,1.5137381248238748,False,False
bf16,16384,16,vector_transform,1,vector_path,32,0.642592000961,0.430155992508,1.4938580704511495,33.05923636386708,True,False
bf16,16384,16,scalar_split,1,control,32,1.50828399658,1.49427995682,1.0093717644381726,0.9284749948785315,False,False
bf16,16384,16,vector_split,1,vector_path,32,1.2471280098,1.03524398804,1.2046706131190912,16.989757273912844,True,False
bf16,16384,16,scalar_fused,1,control,32,1.29836397171,1.28513202667,1.0102961756188478,1.0191244772891377,False,False
bf16,16384,16,vector_fused,1,vector_path,32,1.06865997314,0.869983959198,1.2283674449873199,18.59113459244088,True,False
bf16,16384,16,quant_only,1,control,32,0.607040023804,0.60541601181,1.002682472815915,0.2675296406031264,False,False
bf16,16384,64,scalar_transform,1,control,32,3.61029586792,3.55123214722,1.0166318951427147,1.6359800653686756,False,False
bf16,16384,64,vector_transform,1,vector_path,32,1.30570402145,0.518684005737,2.5173400509906223,60.275529735981415,True,False
bf16,16384,64,scalar_split,1,control,32,5.38692817688,5.32476806641,1.0116737686402009,1.1539064273547024,False,False
bf16,16384,64,vector_split,1,vector_path,32,3.08136005402,2.2931640625,1.3437154822061494,25.579483659876264,True,False
