variant,round,dtype,M,N,block_dim,operation,scalar_median_ms,vector_median_ms,scalar_over_vector_ratio,latency_reduction_pct
old,2,fp16,1,16,32,transform,0.00713199973106,0.00754799991846,0.9448860371099639,-5.832868803798613
old,2,fp16,1,16,32,split,0.0128879994154,0.0132479995489,0.9728260759542454,-2.793297251936809
old,2,fp16,1,16,32,fused,0.00758399963379,0.00802000015974,0.9456358457274476,-5.748952360274773
old,2,fp16,1,64,32,transform,0.0108039997518,0.0102760002017,1.051381815856003,4.887074807753789
old,2,fp16,1,64,32,split,0.0171399995685,0.0166679993272,1.028317750201115,2.7537937758612667
old,2,fp16,1,64,32,fused,0.013463999331,0.0134079992771,1.004176615223693,0.41592436632899055
old,2,fp16,1,128,32,transform,0.0187399998307,0.0169159993529,1.1078269418050848,9.7331936727764
old,2,fp16,1,128,32,split,0.028628000617,0.0264160007238,1.083737122675313,7.7267005921694025
old,2,fp16,1,128,32,fused,0.0247240006924,0.0236120000482,1.0470947247979856,4.497656580885886
old,2,fp16,1,256,32,transform,0.0373519986868,0.0321359992027,1.1623101697009552,13.964445458023933
old,2,fp16,1,256,32,split,0.0543919980526,0.0488880008459,1.1125838060764475,10.119130393734274
old,2,fp16,1,256,32,fused,0.0482959985733,0.0448119997978,1.0777470050705267,7.213845615413151
old,2,fp16,17,16,32,transform,0.00746800005436,0.0077840000391,0.9594039076114217,-4.231387017137365
old,2,fp16,17,16,32,split,0.0129519999027,0.0137400001287,0.9426491835066266,-6.084004261270357
old,2,fp16,17,16,32,fused,0.00837199985981,0.00849199965596,0.98586907665902,-1.433346848535692
old,2,fp16,17,64,32,transform,0.0119280003011,0.0114759996533,1.0393866034729293,3.7894084204400706
old,2,fp16,17,64,32,split,0.019619999826,0.0193000003695,1.0165802824027763,1.6309860312839684
old,2,fp16,17,64,32,fused,0.0149680003524,0.0146919995546,1.018785788603811,1.843939011905123
old,2,fp16,17,128,32,transform,0.020311999321,0.0180199995637,1.1271919984902259,11.283969249301649
old,2,fp16,17,128,32,split,0.0314759999514,0.029563999176,1.0646732792819233,6.074471909874799
