variant,round,dtype,M,N,method,block_dim,groups,median_ms,median_us,min_group_ms,max_group_ms
new,1,bf16,16384,128,quant_only,32,5,3.35419998169,3354.19998169,3.35355606079,3.35481987
new,1,bf16,16384,128,scalar_fused,32,5,10.4772880554,10477.2880554,10.4767562866,10.4776557922
new,1,bf16,16384,128,scalar_split,32,5,11.0151000977,11015.1000977,11.0148643494,11.0168479919
new,1,bf16,16384,128,scalar_transform,32,5,7.66143188477,7661.43188477,7.66088027954,7.66199188232
new,1,bf16,16384,128,vector_fused,32,5,3.78406410217,3784.06410217,3.78310813904,3.78442802429
new,1,bf16,16384,128,vector_split,32,5,3.97795600891,3977.95600891,3.97747612,3.97891998291
new,1,bf16,16384,128,vector_transform,32,5,0.624535989761,624.535989761,0.624223995209,0.62476401329
new,1,bf16,16384,256,quant_only,32,5,6.4963722229,6496.3722229,6.49629974365,6.50018386841
new,1,bf16,16384,256,scalar_fused,32,5,22.1695800781,22169.5800781,22.1690567017,22.1722045898
new,1,bf16,16384,256,scalar_split,32,5,23.1253677368,23125.3677368,23.1226165771,23.1261764526
new,1,bf16,16384,256,scalar_transform,32,5,16.6288116455,16628.8116455,16.6282684326,16.6373886108
new,1,bf16,16384,256,vector_fused,32,5,7.11498413086,7114.98413086,7.11259613037,7.11683197021
new,1,bf16,16384,256,vector_split,32,5,7.31481170654,7314.81170654,7.31304016113,7.3177482605
new,1,bf16,16384,256,vector_transform,32,5,0.818023967743,818.023967743,0.816816043854,0.821135997772
new,1,fp16,1,16,quant_only,32,5,0.00739599987864,7.39599987864,0.00724800005555,0.00758000016212
new,1,fp16,1,16,scalar_fused,32,5,0.00742800012231,7.42800012231,0.00652799978852,0.00782399997115
new,1,fp16,1,16,scalar_split,32,5,0.0125520005822,12.5520005822,0.0123439997435,0.0131640002131
new,1,fp16,1,16,scalar_transform,32,5,0.00726400017738,7.26400017738,0.00716800019145,0.00787599980831
new,1,fp16,1,16,vector_fused,32,5,0.00768399983644,7.68399983644,0.00662399977446,0.00775199979544
new,1,fp16,1,16,vector_split,32,5,0.0128999993205,12.8999993205,0.0128040000796,0.0136639997363
new,1,fp16,1,16,vector_transform,32,5,0.00742399990559,7.42399990559,0.00732399970293,0.00766400024295
new,1,fp16,1,64,quant_only,32,5,0.00855600014329,8.55600014329,0.00842000022531,0.0100040003657
new,1,fp16,1,64,scalar_fused,32,5,0.0137319996953,13.7319996953,0.0135879993439,0.0138160005212
new,1,fp16,1,64,scalar_split,32,5,0.0174919992685,17.4919992685,0.0171959996223,0.0184560000896
new,1,fp16,1,64,scalar_transform,32,5,0.0111720003188,11.1720003188,0.0108599998057,0.0115319997072
new,1,fp16,1,64,vector_fused,32,5,0.0124399997294,12.4399997294,0.0123120002449,0.0129559993744
new,1,fp16,1,64,vector_split,32,5,0.0173040002584,17.3040002584,0.0168799996376,0.0174639999866
new,1,fp16,1,64,vector_transform,32,5,0.0107639998198,10.7639998198,0.0107359997928,0.0113240003586
new,1,fp16,1,128,quant_only,32,5,0.0108680002391,10.8680002391,0.0107440002263,0.0109959997237
new,1,fp16,1,128,scalar_fused,32,5,0.0244959995151,24.4959995151,0.0242080003023,0.0247639998794
new,1,fp16,1,128,scalar_split,32,5,0.028503999114,28.503999114,0.0283439993858,0.0286199986935
new,1,fp16,1,128,scalar_transform,32,5,0.018219999969,18.219999969,0.0181999996305,0.0188119992614
new,1,fp16,1,128,vector_fused,32,5,0.0203840002418,20.3840002418,0.0202559992671,0.0209079995751
new,1,fp16,1,128,vector_split,32,5,0.0250200003386,25.0200003386,0.0249239996076,0.0254000008106
new,1,fp16,1,128,vector_transform,32,5,0.0150759994984,15.0759994984,0.0150279998779,0.0151199996471
new,1,fp16,1,256,quant_only,32,5,0.0173360005021,17.3360005021,0.0171759992838,0.0175200000405
new,1,fp16,1,256,scalar_fused,32,5,0.047947999835,47.947999835,0.0477999985218,0.0483960002661
new,1,fp16,1,256,scalar_split,32,5,0.0536880016327,53.6880016327,0.0533640027046,0.053855997324
new,1,fp16,1,256,scalar_transform,32,5,0.0367439985275,36.7439985275,0.036496001482,0.0367639988661
new,1,fp16,1,256,vector_fused,32,5,0.0391160011292,39.1160011292,0.03869599998,0.0396519988775
new,1,fp16,1,256,vector_split,32,5,0.0441960006952,44.1960006952,0.0440560013056,0.0444519996643
new,1,fp16,1,256,vector_transform,32,5,0.0273880004883,27.3880004883,0.0273160010576,0.0274839997292
new,1,fp16,17,16,quant_only,32,5,0.00744000002742,7.44000002742,0.00730400010943,0.0081200003624
new,1,fp16,17,16,scalar_fused,32,5,0.00813999995589,8.13999995589,0.00741200000048,0.0107359997928
new,1,fp16,17,16,scalar_split,32,5,0.0127639994025,12.7639994025,0.0126240000129,0.0130720004439
new,1,fp16,17,16,scalar_transform,32,5,0.00737200006843,7.37200006843,0.00734800025821,0.00915199965239
new,1,fp16,17,16,vector_fused,32,5,0.00808800011873,8.08800011873,0.00793600007892,0.00821600034833
new,1,fp16,17,16,vector_split,32,5,0.0131040006876,13.1040006876,0.0129439994693,0.0147359997034
new,1,fp16,17,16,vector_transform,32,5,0.0074359998107,7.4359998107,0.00740000009537,0.00843600034714
new,1,fp16,17,64,quant_only,32,5,0.0092239998281,9.2239998281,0.00913200005889,0.00926799997687
new,1,fp16,17,64,scalar_fused,32,5,0.0148080006242,14.8080006242,0.014756000042,0.0149159997702
new,1,fp16,17,64,scalar_split,32,5,0.0195879995823,19.5879995823,0.0193880006671,0.0196879997849
new,1,fp16,17,64,scalar_transform,32,5,0.0116319999099,11.6319999099,0.0114440001547,0.0133039996028
new,1,fp16,17,64,vector_fused,32,5,0.013259999454,13.259999454,0.0131799995899,0.0133520007133
