variant,round,dtype,M,N,block_dim,vector_split_median_ms,vector_fused_median_ms,split_over_fused_ratio,latency_reduction_pct
new,1,fp16,4096,16,32,0.273052000999,0.224744009972,1.2149467344336276,17.69186486466251
new,1,fp16,4096,64,32,0.584195995331,0.544199991226,1.073495047316879,6.846333152684241
new,1,fp16,4096,128,32,1.00777597427,0.957824039459,1.052151473290662,4.956650692847056
new,1,fp16,4096,256,32,1.85055999756,1.79747200012,1.0295348119116492,2.868753107707808
new,1,fp16,16384,16,32,1.03574399948,0.870788002014,1.1894330159401392,15.926329049342009
new,1,fp16,16384,64,32,2.29095191956,2.14636001587,1.067366100104782,6.31143335901044
new,1,fp16,16384,128,32,3.97262802124,3.78347206116,1.049995336828787,4.761481796651013
new,1,fp16,16384,256,32,7.30355987549,7.1064956665,1.0277301525587303,2.6981939266538757
new,1,bf16,1,16,32,0.0128360003233,0.00772000029683,1.6626942784666394,39.85665236532754
new,1,bf16,1,64,32,0.0172600001097,0.0124839998782,1.3825697114784516,27.670916576738154
new,1,bf16,1,128,32,0.0248799994588,0.0203920006752,1.220086241418094,18.038580712318325
new,1,bf16,1,256,32,0.0445160001516,0.0391240000725,1.1378182207624012,12.112499013247948
new,1,bf16,17,16,32,0.0130280002952,0.00801599994302,1.6252495493770858,38.470987401087235
new,1,bf16,17,64,32,0.018452000618,0.0132719993591,1.3902954723508416,28.072843515119384
new,1,bf16,17,128,32,0.0288560003042,0.0235080003738,1.227497015712167,18.533406827077137
new,1,bf16,17,256,32,0.0460399985313,0.0403640002012,1.1406203126996135,12.328406844412067
new,1,bf16,257,16,32,0.0288159996271,0.0204480007291,1.4092331083542713,29.039419094558554
new,1,bf16,257,64,32,0.0515959978104,0.0451840013266,1.1419085582406185,12.42731365979623
new,1,bf16,257,128,32,0.085923999548,0.0788119971752,1.0902400983062253,8.27708487758067
new,1,bf16,257,256,32,0.157843995094,0.149580001831,1.0552479820954734,5.235544917675562
new,1,bf16,4096,16,32,0.273000001907,0.224288010597,1.217184998789461,17.84322013543217
new,1,bf16,4096,64,32,0.584848022461,0.543887996674,1.0753096704422234,7.003533262306851
new,1,bf16,4096,128,32,1.00937595367,0.957940006256,1.0536943306241395,5.095816601037856
new,1,bf16,4096,256,32,1.85294799805,1.7992559433,1.0298412546308027,2.8976557791424504
new,1,bf16,16384,16,32,1.03524398804,0.869983959198,1.1899575585213615,15.963389379819768
new,1,bf16,16384,64,32,2.2931640625,2.14399604797,1.0695747618897136,6.504899364565192
new,1,bf16,16384,128,32,3.97795600891,3.78406410217,1.051239065064678,4.874159148711364
new,1,bf16,16384,256,32,7.31481170654,7.11498413086,1.0280854562715442,2.731821182783674
new,2,fp16,1,16,32,0.0128159999847,0.00768399983644,1.6678813453277814,40.04369658541421
new,2,fp16,1,64,32,0.0170440003276,0.01232400015,1.3829925446406295,27.69303031493565
