gpu,sm,cuda_runtime,seed,mode,rows,dim,dtype,scale,threads,group,order,captured_calls,replays,mean_us,check_status
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,256,2,1,64,20,1.09120002,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,32,3,3,64,20,1.109599974,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,64,3,2,64,20,1.114400011,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,128,3,1,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,256,3,0,64,20,1.09120002,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,32,4,0,64,20,1.109525003,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,64,4,1,64,20,1.114400011,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,128,4,2,64,20,1.076800004,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,1,256,4,3,64,20,1.090400014,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,32,0,0,64,20,0.8751999587,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,64,0,1,64,20,0.8759999648,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,128,0,2,64,20,0.8688000031,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,256,0,3,64,20,0.8663999848,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,32,1,1,64,20,0.8750749752,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,64,1,0,64,20,0.8759999648,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,128,1,3,64,20,0.8663999848,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,256,1,2,64,20,0.8663999848,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,32,2,2,64,20,0.8744000457,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,64,2,3,64,20,0.8767999709,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,128,2,0,64,20,0.8663999848,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,256,2,1,64,20,0.8671999909,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,32,3,3,64,20,0.8744000457,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,64,3,2,64,20,0.8751999587,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,128,3,1,64,20,0.8663999848,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,256,3,0,64,20,0.8671999909,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,32,4,0,64,20,0.8750500157,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,64,4,1,64,20,0.8767999709,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,128,4,2,64,20,0.8663999848,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,transform,17,16,fp16,0.25,256,4,3,64,20,0.8663999848,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,32,0,0,64,20,1.110325009,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,64,0,1,64,20,1.114400011,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,128,0,2,64,20,1.076800004,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,256,0,3,64,20,1.09120002,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,32,1,1,64,20,1.109599974,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,64,1,0,64,20,1.113575045,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,128,1,3,64,20,1.07760001,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,256,1,2,64,20,1.09120002,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,32,2,2,64,20,1.109599974,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,64,2,3,64,20,1.113549992,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,128,2,0,64,20,1.07760001,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,256,2,1,64,20,1.090400014,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,32,3,3,64,20,1.108799968,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,64,3,2,64,20,1.114325039,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,128,3,1,64,20,1.076800004,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,256,3,0,64,20,1.09120002,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,32,4,0,64,20,1.109599974,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,64,4,1,64,20,1.113600004,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,128,4,2,64,20,1.076649968,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260938,fused_int4,17,16,fp16,0.25,256,4,3,64,20,1.09120002,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,32,0,0,64,20,2.931199968,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,64,0,1,64,20,1.985500008,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,128,0,2,64,20,1.503999997,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,256,0,3,64,20,1.282399986,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,32,1,1,64,20,2.930399962,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,64,1,0,64,20,1.986400038,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,128,1,3,64,20,1.503999997,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,256,1,2,64,20,1.28159998,PASS
