mode,dim,rows,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
hadamard,32,17,bf16,1.0,False,2,0.0009015999734401703,0.0009072000160813331,0.0009031499736011029,0.0009015999734401703,-0.17191661563811245
hadamard_int4,4,257,fp16,1.0,True,2,0.0011920000426471234,0.0011487999930977822,0.0010367999784648418,0.0011487999930977822,9.749304953504401
hadamard_int4,8,65,fp16,1.0,True,2,0.001130324974656105,0.0011432000435888767,0.0010631250217556954,0.001130324974656105,5.945188720691141
hadamard,1,4097,fp16,1.0,True,2,0.0014983999542891979,0.0012783999554812908,0.0008694999851286411,0.0012783999554812908,31.98529291239747
hadamard,4,4097,fp16,1.0,True,2,0.0015080000273883342,0.0013016000390052795,0.0009511999785900116,0.0013016000390052795,26.920716803531587
hadamard,1,4096,bf16,1.0,True,2,0.001494400016963482,0.0012736000120639802,0.0008600000292062759,0.0012736000120639802,32.47487271827434
hadamard,4,4097,bf16,1.0,True,2,0.0015200000256299973,0.0012959999963641166,0.0009592000395059585,0.0012959999963641166,25.98765106504929
hadamard,4,4096,bf16,1.0,True,2,0.0015080000273883342,0.001297600008547306,0.0009312000125646591,0.001297600008547306,28.236744263961622
hadamard_int4,8,4096,bf16,1.0,True,2,0.0017815999686717986,0.0016256000846624375,0.0011504000052809716,0.0016256000846624375,29.232286825338292
hadamard,1,4097,bf16,1.0,True,2,0.001494400016963482,0.0012752000242471696,0.0008584000170230865,0.0012752000242471696,32.68506895380167
hadamard,8,4096,bf16,1.0,True,2,0.0015336000360548496,0.001329474989324808,0.0010255999863147736,0.001329474989324808,22.85676717877646
hadamard_int4,8,4096,fp16,1.0,True,2,0.0017767999321222304,0.0016119999811053276,0.001149599999189377,0.0016119999811053276,28.684862737956674
hadamard_int4,2,1,bf16,1.0,True,2,0.0010951999574899673,0.0010928000323474408,0.0010255999863147736,0.0010928000323474408,6.149345172356457
hadamard_int4,1,16384,bf16,1.0,True,2,0.003152799978852272,0.0029255999252200127,0.0009775999933481216,0.0029255999252200127,66.58463158544812
hadamard,8,16384,bf16,1.0,True,2,0.00294560007750988,0.002163200080394745,0.0013135749846696853,0.002163200080394745,39.27630658972694
hadamard_int4,8,64,bf16,1.0,True,2,0.0011239999905228615,0.0011408000253140926,0.0009968000464141368,0.0011239999905228615,11.316721101532556
hadamard_int4,2,16384,bf16,1.0,True,2,0.0032343000173568727,0.0031015999615192414,0.0011800000444054603,0.0031015999615192414,61.955118034388065
hadamard,4,16384,fp16,1.0,True,2,0.002931099943816662,0.0021128000691533087,0.0011111999861896037,0.0021128000691533087,47.40628787299737
hadamard_int4,16,4096,bf16,1.0,False,2,0.0017904000356793403,0.001655999943614006,0.0017920000478625297,0.0017904000356793403,-0.08936618360724236
hadamard,2,4096,fp16,1.0,True,2,0.0015056000091135501,0.0012839999981224537,0.0008832000195980072,0.0012839999981224537,31.214951644121626
hadamard_int4,1,2,bf16,1.0,True,2,0.0010639999993145466,0.0010599999688565731,0.0009968000464141368,0.0010599999688565731,5.962257009366734
hadamard_int4,1,4096,bf16,1.0,True,2,0.0017351999878883362,0.0015320000238716602,0.000926399976015091,0.0015320000238716602,39.53002861749968
hadamard_int4,4,4096,fp16,1.0,True,2,0.0017743999138474464,0.0016079999506473542,0.001104000024497509,0.0016079999506473542,31.343279951404423
hadamard_int4,2,4096,fp16,1.0,True,3,0.0018464000895619392,0.0016448000445961953,0.001089600007981062,0.0016448000445961953,33.754865124133495
hadamard,1,4097,fp16,1.0,True,3,0.0015456000342965125,0.0013120000250637532,0.000890399981290102,0.0013120000250637532,32.134149063995984
hadamard_int4,4,4096,fp16,1.0,True,3,0.001775199919939041,0.0016095999628305436,0.0011048000305891037,0.0016095999628305436,31.36182554041128
hadamard,2,4096,bf16,1.0,True,3,0.0015111500397324562,0.0013007749803364277,0.0008936000056564807,0.0013007749803364277,31.302491271367828
hadamard_int4,2,2,fp16,1.0,True,3,0.0011071999557316302,0.001104000024497509,0.0010359499603509903,0.001104000024497509,6.163954948958628
hadamard,16,16384,bf16,1.0,True,3,0.0029632000252604483,0.0022143999114632605,0.001597600057721138,0.0022143999114632605,27.854040751588784
hadamard,2,4097,fp16,1.0,True,3,0.0015110749751329421,0.0012872000224888325,0.0009031499736011029,0.0012872000224888325,29.83608158622928
hadamard_int4,8,16384,bf16,1.0,True,3,0.003267199918627739,0.003187200054526329,0.0015023999847471714,0.003187200054526329,52.861447068139775
hadamard_int4,2,16384,fp16,1.0,True,3,0.0032207999378442765,0.00307839997112751,0.001162325032055378,0.00307839997112751,62.24255967525691
hadamard_int4,1,2,bf16,1.0,True,3,0.0010727999731898307,0.0010695500299334527,0.0010078749619424343,0.0010695500299334527,5.766450027106796
hadamard,256,17,bf16,1.0,False,3,0.00104799997061491,0.0011872000060975552,0.00104799997061491,0.00104799997061491,0.0
hadamard_int4,1,16384,fp16,1.0,True,3,0.003147999942302704,0.0029440000653266907,0.000976799987256527,0.0029440000653266907,66.82065334301774
hadamard,16,4096,bf16,1.0,True,3,0.001541600003838539,0.0013256000354886055,0.0011367999948561191,0.0013256000354886055,14.242609805218976
hadamard_int4,2,1,fp16,1.0,True,3,0.0010975250042974949,0.0010944000445306302,0.0010280000045895577,0.0010944000445306302,6.067254864700811
hadamard_int4,8,65,fp16,1.0,True,3,0.0011312000453472138,0.001143999956548214,0.0010631499812006951,0.0011312000453472138,6.015740931625513
hadamard,8,4096,fp16,1.0,True,3,0.0015287999995052814,0.0013319999910891057,0.001027199998497963,0.0013319999910891057,22.88288247974566
hadamard,16,4096,fp16,1.0,True,3,0.0015479500405490398,0.0013248000293970108,0.0011392000131309032,0.0013248000293970108,14.009662752693652
hadamard_int4,16,65,bf16,1.0,False,3,0.0011319500394165517,0.0011447249911725522,0.0011327999643981456,0.0011319500394165517,-0.0750850260168967
hadamard,16,4097,bf16,1.0,True,3,0.001547200046479702,0.0013295999728143216,0.001143999956548214,0.0013295999728143216,13.959086948027988
hadamard,1,16384,fp16,1.0,True,3,0.002922400087118149,0.0020719999447464943,0.0009096000343561172,0.0020719999447464943,56.100383271612245
