phase,run_index,dtype,dim,rows,normalized,shape,scale,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms
screen,3,bf16,256,64,False,"[64, 256]",1.0,graph,thread256,4,1.6947200298309326,1280,1.324000023305416,0.001324000023305416
screen,3,bf16,256,64,False,"[64, 256]",1.0,graph,thread256,5,1.6947200298309326,1280,1.324000023305416,0.001324000023305416
screen,3,bf16,256,64,False,"[64, 256]",1.0,graph,dao,1,1.447808027267456,1280,1.1311000213027,0.0011311000213027
screen,3,bf16,256,64,False,"[64, 256]",1.0,graph,dao,2,1.4458880424499512,1280,1.1296000331640244,0.0011296000331640244
screen,3,bf16,256,64,False,"[64, 256]",1.0,graph,dao,3,1.4469120502471924,1280,1.130400039255619,0.001130400039255619
screen,3,bf16,256,64,False,"[64, 256]",1.0,graph,dao,4,1.447808027267456,1280,1.1311000213027,0.0011311000213027
screen,3,bf16,256,64,False,"[64, 256]",1.0,graph,dao,5,1.4479360580444336,1280,1.1312000453472137,0.0011312000453472138
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread32,1,1.3793280124664307,200,6.896640062332153,0.006896640062332153
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread32,2,1.3281279802322388,200,6.640639901161194,0.006640639901161194
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread32,3,1.341312050819397,200,6.706560254096985,0.006706560254096985
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread32,4,1.3312000036239624,200,6.656000018119812,0.006656000018119812
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread32,5,1.3313599824905396,200,6.656799912452698,0.006656799912452698
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread64,1,1.3496320247650146,200,6.748160123825073,0.006748160123825073
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread64,2,1.32806396484375,200,6.64031982421875,0.00664031982421875
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread64,3,1.3230079412460327,200,6.615039706230164,0.006615039706230163
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread64,4,1.3373440504074097,200,6.686720252037048,0.0066867202520370485
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread64,5,1.3465919494628906,200,6.732959747314453,0.0067329597473144535
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread128,1,1.334272027015686,200,6.67136013507843,0.0066713601350784305
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread128,2,1.3393919467926025,200,6.696959733963013,0.0066969597339630125
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread128,3,1.3527040481567383,200,6.763520240783691,0.006763520240783691
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread128,4,1.3424639701843262,200,6.712319850921631,0.0067123198509216305
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread128,5,1.3475840091705322,200,6.737920045852661,0.006737920045852661
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread256,1,1.3525760173797607,200,6.762880086898804,0.006762880086898804
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread256,2,1.3424639701843262,200,6.712319850921631,0.0067123198509216305
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread256,3,1.363968014717102,200,6.81984007358551,0.00681984007358551
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread256,4,1.341439962387085,200,6.707199811935425,0.006707199811935425
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,thread256,5,1.3332480192184448,200,6.666240096092224,0.006666240096092224
