dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,kernel_ms
fp16,1,1,1,64,1,baseline_fused,4,6,100,65.4052591324,164,0.00250744362419,128,2909,true,1,0.0654052591324
fp16,1,1,1,64,1,control_optimized_fused,4,7,100,58.6064004898,164,0.00279832916933,128,2909,true,1,0.0586064004898
fp16,1,1,1,64,1,optimized_fused,4,8,100,28.5193133354,164,0.00575048908335,128,2909,true,1,0.0285193133354
fp16,1,1,1,64,1,control_shuffle32_fused,4,9,100,89.2322349548,164,0.00183790084472,128,2909,true,1,0.0892322349548
fp16,1,1,1,64,1,shuffle32_fused,4,10,100,29.6815991402,164,0.00552530876876,128,2909,true,1,0.0296815991402
fp16,1,1,1,64,1,baseline_transform,4,11,100,9.00548577309,256,0.0284271172539,128,2909,true,1,0.00900548577309
fp16,1,1,1,64,1,control_optimized_transform,4,12,100,9.12000000477,256,0.0280701754239,128,2909,true,1,0.00912000000477
fp16,1,1,1,64,1,optimized_transform,4,13,100,9.25165712833,256,0.0276707184939,128,2909,true,1,0.00925165712833
fp16,1,1,1,64,1,control_shuffle32_transform,4,14,100,7.87154316902,256,0.032522212545,128,2909,true,1,0.00787154316902
fp16,1,17,1,64,17,baseline_transform,0,0,100,9.16022837162,4352,0.475097325464,2176,2909,true,1,0.00916022837162
fp16,1,17,1,64,17,control_optimized_transform,0,1,100,9.31519985199,4352,0.467193411752,2176,2909,true,1,0.00931519985199
fp16,1,17,1,64,17,optimized_transform,0,2,100,9.41394329071,4352,0.462292990897,2176,2909,true,1,0.00941394329071
fp16,1,17,1,64,17,control_shuffle32_transform,0,3,100,7.95199990273,4352,0.547283708908,2176,2909,true,1,0.00795199990273
fp16,1,17,1,64,17,shuffle32_transform,0,4,100,7.92320013046,4352,0.549273011957,2176,2909,true,1,0.00792320013046
fp16,1,17,1,64,17,baseline_split,0,5,100,70.2941703796,7140,0.10157314556,2176,2909,true,1,0.0702941703796
fp16,1,17,1,64,17,control_optimized_split,0,6,100,64.4694852829,7140,0.110750069877,2176,2909,true,1,0.0644694852829
fp16,1,17,1,64,17,optimized_split,0,7,100,34.9430847168,7140,0.204332275123,2176,2909,true,1,0.0349430847168
fp16,1,17,1,64,17,control_shuffle32_split,0,8,100,93.7440013885,7140,0.0761648734238,2176,2909,true,1,0.0937440013885
fp16,1,17,1,64,17,shuffle32_split,0,9,100,34.8118853569,7140,0.205102364517,2176,2909,true,1,0.0348118853569
fp16,1,17,1,64,17,baseline_fused,0,10,100,65.6667423248,2788,0.0424568038751,2176,2909,true,1,0.0656667423248
fp16,1,17,1,64,17,control_optimized_fused,0,11,100,58.9005708694,2788,0.0473340064255,2176,2909,true,1,0.0589005708694
fp16,1,17,1,64,17,optimized_fused,0,12,100,28.99954319,2788,0.0961394454296,2176,2909,true,1,0.02899954319
fp16,1,17,1,64,17,control_shuffle32_fused,0,13,100,89.0758800507,2788,0.0312991575095,2176,2909,true,1,0.0890758800507
fp16,1,17,1,64,17,shuffle32_fused,0,14,100,29.6169137955,2788,0.0941353990917,2176,2909,true,1,0.0296169137955
fp16,1,17,1,64,17,control_optimized_transform,1,0,100,9.30377185345,4352,0.467767274236,2176,2909,true,1,0.00930377185345
fp16,1,17,1,64,17,optimized_transform,1,1,100,9.54651474953,4352,0.455873176147,2176,2909,true,1,0.00954651474953
fp16,1,17,1,64,17,control_shuffle32_transform,1,2,100,7.88160026073,4352,0.552172129521,2176,2909,true,1,0.00788160026073
fp16,1,17,1,64,17,shuffle32_transform,1,3,100,7.90788531303,4352,0.550336762323,2176,2909,true,1,0.00790788531303
fp16,1,17,1,64,17,baseline_split,1,4,100,70.2857112885,7140,0.101585370186,2176,2909,true,1,0.0702857112885
fp16,1,17,1,64,17,control_optimized_split,1,5,100,64.4505167007,7140,0.110782664989,2176,2909,true,1,0.0644505167007
fp16,1,17,1,64,17,optimized_split,1,6,100,34.2852568626,7140,0.208252778406,2176,2909,true,1,0.0342852568626
fp16,1,17,1,64,17,control_shuffle32_split,1,7,100,94.3835449219,7140,0.0756487797307,2176,2909,true,1,0.0943835449219
fp16,1,17,1,64,17,shuffle32_split,1,8,100,34.760684967,7140,0.205404467915,2176,2909,true,1,0.034760684967
fp16,1,17,1,64,17,baseline_fused,1,9,100,65.7094860077,2788,0.0424291859424,2176,2909,true,1,0.0657094860077
fp16,1,17,1,64,17,control_optimized_fused,1,10,100,58.9051437378,2788,0.0473303318367,2176,2909,true,1,0.0589051437378
fp16,1,17,1,64,17,optimized_fused,1,11,100,28.983771801,2788,0.0961917592763,2176,2909,true,1,0.028983771801
fp16,1,17,1,64,17,control_shuffle32_fused,1,12,100,89.0301704407,2788,0.0313152270315,2176,2909,true,1,0.0890301704407
fp16,1,17,1,64,17,shuffle32_fused,1,13,100,29.5849132538,2788,0.0942372207106,2176,2909,true,1,0.0295849132538
fp16,1,17,1,64,17,baseline_transform,1,14,100,9.20205712318,4352,0.472937729221,2176,2909,true,1,0.00920205712318
fp16,1,17,1,64,17,optimized_transform,2,0,100,9.4843429327,4352,0.458861518492,2176,2909,true,1,0.0094843429327
fp16,1,17,1,64,17,control_shuffle32_transform,2,1,100,7.92548596859,4352,0.549114592752,2176,2909,true,1,0.00792548596859
fp16,1,17,1,64,17,shuffle32_transform,2,2,100,7.96411395073,4352,0.546451247047,2176,2909,true,1,0.00796411395073
fp16,1,17,1,64,17,baseline_split,2,3,100,70.3988552094,7140,0.101422103794,2176,2909,true,1,0.0703988552094
fp16,1,17,1,64,17,control_optimized_split,2,4,100,64.5604610443,7140,0.110594005751,2176,2909,true,1,0.0645604610443
fp16,1,17,1,64,17,optimized_split,2,5,100,34.2822861671,7140,0.208270824332,2176,2909,true,1,0.0342822861671
fp16,1,17,1,64,17,control_shuffle32_split,2,6,100,93.7476539612,7140,0.0761619059071,2176,2909,true,1,0.0937476539612
fp16,1,17,1,64,17,shuffle32_split,2,7,100,34.8301720619,7140,0.204994680684,2176,2909,true,1,0.0348301720619
fp16,1,17,1,64,17,baseline_fused,2,8,100,65.7280015945,2788,0.042417233635,2176,2909,true,1,0.0657280015945
fp16,1,17,1,64,17,control_optimized_fused,2,9,100,58.906288147,2788,0.0473294123209,2176,2909,true,1,0.058906288147
fp16,1,17,1,64,17,optimized_fused,2,10,100,28.9913153648,2788,0.0961667301023,2176,2909,true,1,0.0289913153648
fp16,1,17,1,64,17,control_shuffle32_fused,2,11,100,89.0701770782,2788,0.0313011615274,2176,2909,true,1,0.0890701770782
fp16,1,17,1,64,17,shuffle32_fused,2,12,100,29.5746278763,2788,0.0942699942553,2176,2909,true,1,0.0295746278763
fp16,1,17,1,64,17,baseline_transform,2,13,100,9.2971432209,4352,0.468100780702,2176,2909,true,1,0.0092971432209
fp16,1,17,1,64,17,control_optimized_transform,2,14,100,9.40777122974,4352,0.462596282767,2176,2909,true,1,0.00940777122974
fp16,1,17,1,64,17,control_shuffle32_transform,3,0,100,7.99497127533,4352,0.544342168361,2176,2909,true,1,0.00799497127533
fp16,1,17,1,64,17,shuffle32_transform,3,1,100,8.03062856197,4352,0.541925201298,2176,2909,true,1,0.00803062856197
fp16,1,17,1,64,17,baseline_split,3,2,100,70.2608013153,7140,0.101621385842,2176,2909,true,1,0.0702608013153
fp16,1,17,1,64,17,control_optimized_split,3,3,100,64.395198822,7140,0.110877831432,2176,2909,true,1,0.064395198822
fp16,1,17,1,64,17,optimized_split,3,4,100,34.265370369,7140,0.208373641467,2176,2909,true,1,0.034265370369
fp16,1,17,1,64,17,control_shuffle32_split,3,5,100,93.7563419342,7140,0.0761548483303,2176,2909,true,1,0.0937563419342
