round,position,method,sample,rows,n,dtype,scale_kind,scale_float_bits,threads,grid_x,grid_y,shared_bytes,input_offset_bytes,iterations,event_elapsed_ms,kernel_ms,timer,validation_passed
1,2,four_warp_wmma,20,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,20,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19465599954128265,0.0019465599954128264,cuda_event_batched_launches,true
2,1,four_warp_wmma,1,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20899200439453125,0.0020899200439453126,cuda_event_batched_launches,true
2,2,warp128,1,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.1955839991569519,0.0019558399915695192,cuda_event_batched_launches,true
2,3,old_wmma,1,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20684799551963806,0.0020684799551963806,cuda_event_batched_launches,true
2,1,four_warp_wmma,2,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.21007999777793884,0.0021007999777793883,cuda_event_batched_launches,true
2,2,warp128,2,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.1955839991569519,0.0019558399915695192,cuda_event_batched_launches,true
2,3,old_wmma,2,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20582400262355804,0.0020582400262355804,cuda_event_batched_launches,true
2,1,four_warp_wmma,3,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20902399718761444,0.0020902399718761445,cuda_event_batched_launches,true
2,2,warp128,3,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19660800695419312,0.0019660800695419311,cuda_event_batched_launches,true
2,3,old_wmma,3,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20665599405765533,0.0020665599405765532,cuda_event_batched_launches,true
2,1,four_warp_wmma,4,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.2099200040102005,0.0020992000401020049,cuda_event_batched_launches,true
2,2,warp128,4,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.1955839991569519,0.0019558399915695192,cuda_event_batched_launches,true
2,3,old_wmma,4,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20684799551963806,0.0020684799551963806,cuda_event_batched_launches,true
2,1,four_warp_wmma,5,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.2099200040102005,0.0020992000401020049,cuda_event_batched_launches,true
2,2,warp128,5,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19763199985027313,0.0019763199985027313,cuda_event_batched_launches,true
2,3,old_wmma,5,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20787200331687927,0.0020787200331687928,cuda_event_batched_launches,true
2,1,four_warp_wmma,6,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
2,2,warp128,6,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19763199985027313,0.0019763199985027313,cuda_event_batched_launches,true
2,3,old_wmma,6,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20684799551963806,0.0020684799551963806,cuda_event_batched_launches,true
2,1,four_warp_wmma,7,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.2099200040102005,0.0020992000401020049,cuda_event_batched_launches,true
2,2,warp128,7,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19763199985027313,0.0019763199985027313,cuda_event_batched_launches,true
2,3,old_wmma,7,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20582400262355804,0.0020582400262355804,cuda_event_batched_launches,true
2,1,four_warp_wmma,8,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.2099200040102005,0.0020992000401020049,cuda_event_batched_launches,true
2,2,warp128,8,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.1955839991569519,0.0019558399915695192,cuda_event_batched_launches,true
2,3,old_wmma,8,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20601600408554077,0.0020601600408554077,cuda_event_batched_launches,true
