round,position,method,sample,rows,n,dtype,scale_kind,scale_float_bits,threads,grid_x,grid_y,shared_bytes,input_offset_bytes,iterations,event_elapsed_ms,kernel_ms,timer,validation_passed
1,2,four_warp_wmma,18,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31129598617553711,0.0031129598617553713,cuda_event_batched_launches,true
1,3,warp128,18,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.18739199638366699,0.0018739199638366699,cuda_event_batched_launches,true
1,1,old_wmma,19,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28672000765800476,0.0028672000765800477,cuda_event_batched_launches,true
1,2,four_warp_wmma,19,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31231999397277832,0.0031231999397277831,cuda_event_batched_launches,true
1,3,warp128,19,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.18739199638366699,0.0018739199638366699,cuda_event_batched_launches,true
1,1,old_wmma,20,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28569599986076355,0.0028569599986076354,cuda_event_batched_launches,true
1,2,four_warp_wmma,20,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31219199299812317,0.0031219199299812317,cuda_event_batched_launches,true
1,3,warp128,20,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.19142399728298187,0.0019142399728298187,cuda_event_batched_launches,true
2,1,four_warp_wmma,1,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31231999397277832,0.0031231999397277831,cuda_event_batched_launches,true
2,2,warp128,1,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.18723200261592865,0.0018723200261592866,cuda_event_batched_launches,true
2,3,old_wmma,1,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28569599986076355,0.0028569599986076354,cuda_event_batched_launches,true
2,1,four_warp_wmma,2,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31129598617553711,0.0031129598617553713,cuda_event_batched_launches,true
2,2,warp128,2,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.18739199638366699,0.0018739199638366699,cuda_event_batched_launches,true
