dtype,dim,rows,normalized,shape,scale,mode,scope,run1_original_us,run1_original_ms,run1_contiguous256_us,run1_contiguous256_ms,run1_original_over_contiguous256,run1_time_reduction_percent,run1_regression_over_3_percent,run1_original_range_percent,run1_contiguous256_range_percent,run1_contiguous256_population_cv_percent,run2_original_us,run2_original_ms,run2_contiguous256_us,run2_contiguous256_ms,run2_original_over_contiguous256,run2_time_reduction_percent,run2_regression_over_3_percent,run2_original_range_percent,run2_contiguous256_range_percent,run2_contiguous256_population_cv_percent,run3_original_us,run3_original_ms,run3_contiguous256_us,run3_contiguous256_ms,run3_original_over_contiguous256,run3_time_reduction_percent,run3_regression_over_3_percent,run3_original_range_percent,run3_contiguous256_range_percent,run3_contiguous256_population_cv_percent,stable_at_least_5_percent,any_run_regression,every_run_regression,any_run_regression_over_3_percent,every_run_regression_over_3_percent,minimum_time_reduction_percent,maximum_time_reduction_percent,maximum_regression_percent,validation_revision
bf16,256,65,False,"[65, 256]",1.0,fused_int4,cuda_graph,1.5744000673294067,0.0015744000673294067,1.4808000065386295,0.0014808000065386294,1.0632091169485929,5.945125558178321,False,0.10162678574470783,0.2650571205516187,0.09219139538185786,1.5799500048160553,0.0015799500048160552,1.482400018721819,0.0014824000187218188,1.0658054404089576,6.174245121483679,False,0.10126979830451487,0.16190085297310466,0.06276802640421315,1.5752000734210014,0.0015752000734210014,1.4816000126302242,0.0014816000126302241,1.0631749864962627,5.942106172424033,False,0.055552986942683104,0.26998045517510416,0.09314308534317091,True,False,False,False,False,5.942106172424033,6.174245121483679,0.0,2
bf16,256,65,True,"[65, 256]",0.0625,fused_int4,cuda_graph,1.5744000673294067,0.0015744000673294067,1.4800000004470348,0.0014800000004470347,1.0637838289553097,5.995938951050672,False,0.09685896331687113,0.3783812594237416,0.1398114408343812,1.5752000734210014,0.0015752000734210014,1.4840000309050083,0.0014840000309050082,1.0614555529762189,5.789743414493753,False,0.15395910812978586,0.16172629547187084,0.054964516821225586,1.5807999297976494,0.0015807999297976494,1.4871999621391296,0.0014871999621391297,1.0629370427927454,5.921050848635923,False,0.25303837522851513,0.2151648275675497,0.08605745421221397,True,False,False,False,False,5.789743414493753,5.995938951050672,0.0,2
bf16,256,255,False,"[255, 256]",1.0,fused_int4,cuda_graph,1.629599928855896,0.001629599928855896,1.5351999551057816,0.0015351999551057815,1.061490344261774,5.792831239038554,False,0.1963687104862263,0.10584755573922093,0.046261806846370226,1.6311999410390854,0.0016311999410390855,1.5359999611973763,0.0015359999611973762,1.0619791551085045,5.836193188007721,False,0.343308168439217,0.31250238742365244,0.10919717076108422,1.5064000152051449,0.0015064000152051448,1.4248000457882881,0.001424800045788288,1.0572711726519566,5.416885859878617,False,0.15932144520439667,0.06141055100592378,0.023071740101555913,True,False,False,False,False,5.416885859878617,5.836193188007721,0.0,2
bf16,256,255,True,"[255, 256]",0.0625,fused_int4,cuda_graph,1.6335999593138695,0.0016335999593138696,1.5375999733805656,0.0015375999733805656,1.0624349555120234,5.876590862160946,False,0.1469159117628849,0.20811813357041195,0.08321261731895292,1.6303999349474907,0.0016303999349474908,1.5359999611973763,0.0015359999611973762,1.0614583177961319,5.789988807448932,False,0.09813617805627076,0.20833492494910164,0.07092693987528967,1.6383999958634377,0.0016383999958634377,1.5359999611973763,0.0015359999611973762,1.0666666909198592,6.250002131628207,False,0.14648549077414255,0.10416746247455082,0.04149642693845572,True,False,False,False,False,5.789988807448932,6.250002131628207,0.0,2
bf16,256,256,False,"[256, 256]",1.0,fused_int4,cuda_graph,1.627199910581112,0.001627199910581112,1.535124983638525,0.001535124983638525,1.0599787821343072,5.658488938197193,False,0.14748230962058792,0.26056102065614495,0.09695495839851236,1.5072000212967396,0.0015072000212967395,1.42000000923872,0.0014200000092387199,1.0614084587962564,5.7855633509742095,False,0.10615791935915714,0.2253538271520405,0.0827629813067105,1.6327999532222748,0.0016327999532222749,1.544800028204918,0.0015448000282049178,1.0569652533730298,5.389510505784378,False,0.1454592661579452,0.15536109729185774,0.060168087216347005,True,False,False,False,False,5.389510505784378,5.7855633509742095,0.0,2
bf16,256,256,True,"[256, 256]",0.0625,fused_int4,cuda_graph,1.6335999593138695,0.0016335999593138696,1.5359999611973763,0.0015359999611973762,1.0635416670456228,5.974534803336207,False,0.09794394117525661,0.15625119371182622,0.05102611091213911,1.508800033479929,0.001508800033479929,1.414399966597557,0.001414399966597557,1.0667421303108895,6.256632077654823,False,0.1590680157428572,0.16968455397786159,0.055412474836283136,1.6327999532222748,0.0016327999532222749,1.5399999916553497,0.0015399999916553496,1.0602597156297215,5.683486295047202,False,0.04899596487713705,0.1022761523846938,0.04090209433621115,True,False,False,False,False,5.683486295047202,6.256632077654823,0.0,2
bf16,256,258,False,"[258, 256]",1.0,fused_int4,cuda_graph,1.6256000846624374,0.0016256000846624375,1.536799967288971,0.0015367999672889709,1.0577824826025448,5.4626053610169585,False,0.14762745357309082,0.20822647283262663,0.07059833205698504,1.5023999847471714,0.0015023999847471714,1.4151999726891518,0.0014151999726891517,1.061616742326756,5.804047719868288,False,0.15974562694021663,0.060063463132800206,0.023003520533731336,1.5039999969303608,0.0015039999969303608,1.4151999726891518,0.0014151999726891517,1.0627473332072441,5.904256942981945,False,0.159575683489527,0.17135230119993994,0.06799242813605677,True,False,False,False,False,5.4626053610169585,5.904256942981945,0.0,2
bf16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,1.629599928855896,0.001629599928855896,1.536799967288971,0.0015367999672889709,1.0603851923101164,5.69464688379544,False,0.1472765328646697,0.20822647283262663,0.07789499222012677,1.6311999410390854,0.0016311999410390855,1.5344000421464443,0.0015344000421464443,1.0630864808614249,5.93427552670085,False,0.049044024062745294,0.1564080472240743,0.06254365422798161,1.63199994713068,0.0016319999471306802,1.536799967288971,0.0015367999672889709,1.061946890856361,5.833332287117177,False,0.19607993076255575,0.10411323641631332,0.05098362865560958,True,False,False,False,False,5.69464688379544,5.93427552670085,0.0,2
bf16,256,4095,False,"[4095, 256]",1.0,fused_int4,cuda_graph,3.359999880194664,0.003359999880194664,3.031199984252453,0.003031199984252453,1.1084718585544922,9.785711537679042,False,0.16517671680175833,0.2375315011136728,0.09531546047010593,3.3615998923778534,0.0033615998923778533,3.0287999659776688,0.003028799965977669,1.1098784766701355,9.90004572390607,False,0.23798373310537133,0.10730135013485852,0.0392184829871985,3.367999941110611,0.003367999941110611,3.0368000268936157,0.003036800026893616,1.109062141492334,9.833726841093139,False,0.19002520322631383,0.29142471743830356,0.11531628224025885,True,False,False,False,False,9.785711537679042,9.90004572390607,0.0,2
bf16,256,4095,True,"[4095, 256]",0.0625,fused_int4,cuda_graph,3.367200121283531,0.0033672001212835313,3.030399978160858,0.0030303999781608583,1.1111404915357332,10.002379751468094,False,0.07127084592033044,0.15839613860086238,0.056355745823647295,3.388800099492073,0.003388800099492073,3.0479999259114265,0.0030479999259114265,1.111811083288901,10.056662050727837,False,0.28328826774335997,0.23622227688208594,0.08686540597232757,3.3743999898433685,0.0033743999898433684,3.033600002527237,0.003033600002527237,1.1123417678771814,10.099572911981625,False,0.14224859423944528,0.2373435791915226,0.0922480032069087,True,False,False,False,False,10.002379751468094,10.099572911981625,0.0,2
bf16,256,4097,False,"[4097, 256]",1.0,fused_int4,cuda_graph,3.097599931061268,0.003097599931061268,2.7936000376939774,0.0027936000376939775,1.1088201207278878,9.81404636276374,False,0.206613148088651,0.1718226118557202,0.05727420395190674,3.0904000625014305,0.0030904000625014303,2.7855999767780304,0.0027855999767780306,1.1094199053217784,9.86280350631008,False,0.10516856896069236,0.25847411273603693,0.08633441081312909,3.0791999772191048,0.0030791999772191046,2.7855999767780304,0.0027855999767780306,1.10539919690144,9.534944226202258,False,0.10392388899888207,0.17231607515735795,0.05912995987714903,True,False,False,False,False,9.534944226202258,9.86280350631008,0.0,2
