run_index,dtype,dim,rows,normalized,shape,scale,mode,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms,validation_revision
1,bf16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,contiguous256,1,1.9701759815216064,1280,1.539199985563755,0.001539199985563755,2
1,bf16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,contiguous256,2,1.968127965927124,1280,1.5375999733805656,0.0015375999733805656,2
1,bf16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,contiguous256,3,1.9660799503326416,1280,1.5359999611973763,0.0015359999611973762,2
1,bf16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,contiguous256,4,1.9671039581298828,1280,1.536799967288971,0.0015367999672889709,2
1,bf16,256,258,True,"[258, 256]",0.0625,fused_int4,cuda_graph,contiguous256,5,1.9660799503326416,1280,1.5359999611973763,0.0015359999611973762,2
1,bf16,256,18,False,"[18, 256]",1.0,fused_int4,cuda_graph,original,1,1.99782395362854,1280,1.560799963772297,0.0015607999637722969,2
1,bf16,256,18,False,"[18, 256]",1.0,fused_int4,cuda_graph,original,2,1.9957760572433472,1280,1.559200044721365,0.001559200044721365,2
1,bf16,256,18,False,"[18, 256]",1.0,fused_int4,cuda_graph,original,3,1.9957760572433472,1280,1.559200044721365,0.001559200044721365,2
1,bf16,256,18,False,"[18, 256]",1.0,fused_int4,cuda_graph,original,4,1.9967999458312988,1280,1.5599999576807022,0.0015599999576807022,2
1,bf16,256,18,False,"[18, 256]",1.0,fused_int4,cuda_graph,original,5,1.9957760572433472,1280,1.559200044721365,0.001559200044721365,2
1,bf16,256,18,False,"[18, 256]",1.0,fused_int4,cuda_graph,contiguous256,1,1.8800640106201172,1280,1.4688000082969666,0.0014688000082969666,2
1,bf16,256,18,False,"[18, 256]",1.0,fused_int4,cuda_graph,contiguous256,2,1.8769919872283936,1280,1.4663999900221825,0.0014663999900221825,2
1,bf16,256,18,False,"[18, 256]",1.0,fused_int4,cuda_graph,contiguous256,3,1.8769919872283936,1280,1.4663999900221825,0.0014663999900221825,2
1,bf16,256,18,False,"[18, 256]",1.0,fused_int4,cuda_graph,contiguous256,4,1.8769919872283936,1280,1.4663999900221825,0.0014663999900221825,2
1,bf16,256,18,False,"[18, 256]",1.0,fused_int4,cuda_graph,contiguous256,5,1.8769919872283936,1280,1.4663999900221825,0.0014663999900221825,2
1,bf16,256,16,True,"[16, 256]",0.0625,fused_int4,cuda_graph,original,1,2.011136054992676,1280,1.571200042963028,0.001571200042963028,2
1,bf16,256,16,True,"[16, 256]",0.0625,fused_int4,cuda_graph,original,2,2.0089919567108154,1280,1.5695249661803246,0.0015695249661803246,2
1,bf16,256,16,True,"[16, 256]",0.0625,fused_int4,cuda_graph,original,3,2.0089919567108154,1280,1.5695249661803246,0.0015695249661803246,2
1,bf16,256,16,True,"[16, 256]",0.0625,fused_int4,cuda_graph,original,4,2.008064031600952,1280,1.5688000246882439,0.0015688000246882438,2
1,bf16,256,16,True,"[16, 256]",0.0625,fused_int4,cuda_graph,original,5,2.008064031600952,1280,1.5688000246882439,0.0015688000246882438,2
1,bf16,256,16,True,"[16, 256]",0.0625,fused_int4,cuda_graph,contiguous256,1,1.8851840496063232,1280,1.47280003875494,0.00147280003875494,2
1,bf16,256,16,True,"[16, 256]",0.0625,fused_int4,cuda_graph,contiguous256,2,1.884160041809082,1280,1.4720000326633453,0.0014720000326633453,2
1,bf16,256,16,True,"[16, 256]",0.0625,fused_int4,cuda_graph,contiguous256,3,1.8821120262145996,1280,1.470400020480156,0.001470400020480156,2
1,bf16,256,16,True,"[16, 256]",0.0625,fused_int4,cuda_graph,contiguous256,4,1.8831360340118408,1280,1.4712000265717506,0.0014712000265717506,2
