run,rows,scale,warmup_replays,method,group,event_ms,per_call_ms
3,16385,1.0,5,contiguous256,4,19.366912841796875,0.015130400657653809
3,16383,1.0,5,original,0,19.603456497192383,0.015315200388431548
3,16383,1.0,5,original,1,20.568063735961914,0.016068799793720244
3,16383,1.0,5,original,2,20.87014389038086,0.016304799914360048
3,16383,1.0,5,original,3,20.893695831298828,0.016323199868202208
3,16383,1.0,5,original,4,21.10259246826172,0.01648640036582947
3,16383,1.0,5,contiguous256,0,18.04185676574707,0.014095200598239899
3,16383,1.0,5,contiguous256,1,19.302400588989258,0.015080000460147857
3,16383,1.0,5,contiguous256,2,19.337215423583984,0.015107199549674988
3,16383,1.0,5,contiguous256,3,19.384319305419922,0.015143999457359314
3,16383,1.0,5,contiguous256,4,19.398656845092773,0.01515520066022873
3,16385,0.0625,256,original,0,20.61516761779785,0.01610559970140457
3,16385,0.0625,256,original,1,20.85580825805664,0.01629360020160675
3,16385,0.0625,256,original,2,20.89574432373047,0.01632480025291443
3,16385,0.0625,256,original,3,20.86400032043457,0.016300000250339508
3,16385,0.0625,256,original,4,20.756479263305664,0.01621599942445755
3,16385,0.0625,256,contiguous256,0,19.216384887695312,0.015012800693511963
3,16385,0.0625,256,contiguous256,1,19.216384887695312,0.015012800693511963
3,16385,0.0625,256,contiguous256,2,19.44371223449707,0.015190400183200836
3,16385,0.0625,256,contiguous256,3,19.412992477416992,0.015166400372982025
3,16385,0.0625,256,contiguous256,4,19.2675838470459,0.015052799880504609
3,16383,0.0625,256,original,0,21.09644889831543,0.01648160070180893
3,16383,0.0625,256,original,1,21.099519729614258,0.01648399978876114
3,16383,0.0625,256,original,2,20.86809539794922,0.016303199529647826
3,16383,0.0625,256,original,3,20.87116813659668,0.016305600106716157
3,16383,0.0625,256,original,4,20.719615936279297,0.016187199950218202
3,16383,0.0625,256,contiguous256,0,19.464191436767578,0.01520639955997467
3,16383,0.0625,256,contiguous256,1,19.265535354614258,0.01505119949579239
3,16383,0.0625,256,contiguous256,2,19.21945571899414,0.015015199780464172
3,16383,0.0625,256,contiguous256,3,19.160064697265625,0.014968800544738769
3,16383,0.0625,256,contiguous256,4,19.075071334838867,0.014902399480342865
3,16385,0.0625,5,original,0,19.539968490600586,0.015265600383281707
3,16385,0.0625,5,original,1,20.702207565307617,0.016173599660396575
3,16385,0.0625,5,original,2,20.979711532592773,0.016390399634838106
3,16385,0.0625,5,original,3,20.710399627685547,0.016179999709129332
3,16385,0.0625,5,original,4,20.709375381469727,0.016179199516773223
3,16385,0.0625,5,contiguous256,0,18.520063400268555,0.014468799531459808
3,16385,0.0625,5,contiguous256,1,18.945024490356445,0.014800800383090973
3,16385,0.0625,5,contiguous256,2,19.44473648071289,0.015191200375556945
3,16385,0.0625,5,contiguous256,3,19.289087295532227,0.015069599449634551
3,16385,0.0625,5,contiguous256,4,19.07916831970215,0.014905600249767304
3,16385,1.0,256,original,0,20.87833595275879,0.016311199963092805
3,16385,1.0,256,original,1,21.10259246826172,0.01648640036582947
3,16385,1.0,256,original,2,20.8670711517334,0.016302399337291718
3,16385,1.0,256,original,3,20.763647079467773,0.0162215992808342
3,16385,1.0,256,original,4,20.723712921142578,0.016190400719642638
3,16385,1.0,256,contiguous256,0,19.43654441833496,0.015184800326824188
3,16385,1.0,256,contiguous256,1,19.42425537109375,0.015175199508666993
3,16385,1.0,256,contiguous256,2,19.23072052001953,0.015024000406265258
3,16385,1.0,256,contiguous256,3,19.304447174072266,0.015081599354743958
3,16385,1.0,256,contiguous256,4,19.094528198242188,0.014917600154876708
3,16383,1.0,256,original,0,20.602880477905273,0.016096000373363496
3,16383,1.0,256,original,1,20.883455276489258,0.016315199434757233
3,16383,1.0,256,original,2,21.098495483398438,0.01648319959640503
3,16383,1.0,256,original,3,20.87936019897461,0.016312000155448914
3,16383,1.0,256,original,4,21.09542465209961,0.01648080050945282
3,16383,1.0,256,contiguous256,0,19.21843147277832,0.015014399588108063
3,16383,1.0,256,contiguous256,1,19.22969627380371,0.01502320021390915
3,16383,1.0,256,contiguous256,2,19.4385929107666,0.015186400711536407
3,16383,1.0,256,contiguous256,3,19.405824661254883,0.015160800516605377
3,16383,1.0,256,contiguous256,4,19.4385929107666,0.015186400711536407
3,16383,0.0625,5,original,0,19.88096046447754,0.015532000362873078
3,16383,0.0625,5,original,1,20.794368743896484,0.01624560058116913
3,16383,0.0625,5,original,2,20.732927322387695,0.016197599470615387
