mode,dim,rows,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
hadamard,8,16384,bf16,1.0,True,1,0.004689599946141243,0.0033959999680519106,0.002014400064945221,0.0033959999680519106,40.68315418445759
hadamard_int4,1,2,bf16,1.0,True,1,0.001740800030529499,0.0017311999574303627,0.0016168000176548958,0.0017311999574303627,6.608129770594029
hadamard,16,16384,bf16,1.0,True,1,0.004727999866008759,0.003511999920010567,0.0025280000641942023,0.003511999920010567,28.018219767311493
hadamard,2,16384,fp16,1.0,True,1,0.004659200087189674,0.003286400064826012,0.0017103999853134155,0.003286400064826012,47.95521082111568
hadamard,8,4096,fp16,1.0,True,1,0.0023663999512791634,0.0020207999274134635,0.0017376000061631203,0.0020207999274134635,14.014248387905825
hadamard_int4,16,65,fp16,1.0,False,1,0.002047199942171574,0.002022399939596653,0.0020503999665379526,0.002047199942171574,-0.15631225365237977
hadamard_int4,4,16384,fp16,1.0,True,1,0.006229599937796593,0.00597280003130436,0.0021199999377131463,0.00597280003130436,64.50576067167992
hadamard,1,4097,bf16,1.0,True,1,0.0023383999243378637,0.0019727999344468115,0.0014936000108718873,0.0019727999344468115,24.290345676095924
hadamard_int4,1,16384,bf16,1.0,True,1,0.005888000130653381,0.0054767999798059465,0.001706399954855442,0.0054767999798059465,68.84312077951944
hadamard,4,16384,fp16,1.0,True,1,0.004659999907016754,0.003283200040459633,0.0017864000052213668,0.003283200040459633,45.58966912746264
hadamard_int4,64,65,fp16,1.0,False,1,0.001947999931871891,0.0019408000633120536,0.0019471999257802963,0.001947999931871891,0.0410680759534654
hadamard_int4,8,257,fp16,1.0,True,1,0.0020616000518202783,0.0020479999482631685,0.001865600049495697,0.0020479999482631685,8.906245281996117
hadamard,2,4096,bf16,1.0,True,1,0.0023312000557780266,0.001992000080645084,0.0015527999959886074,0.001992000080645084,22.048196128297725
hadamard_int4,2,1,fp16,1.0,True,1,0.0018023999407887458,0.0017920000478625297,0.0016712000593543052,0.0017920000478625297,6.74107060724205
hadamard_int4,2,2,bf16,1.0,True,1,0.00180479995906353,0.0017960000783205031,0.0016712000593543052,0.0017960000783205031,6.948775808679386
hadamard_int4,4,4096,bf16,1.0,True,1,0.0030640000477433205,0.002869600057601929,0.001999199949204922,0.002869600057601929,30.331756723073955
hadamard,256,17,bf16,1.0,False,1,0.0017416000366210938,0.0019247999414801597,0.0017416000366210938,0.0017416000366210938,0.0
