run,dtype,rows,scale,method,group,event_ms,per_call_us,per_call_ms
1,fp16,63,1.0,contiguous256,3,3.152895927429199,2.463199943304062,0.0024631999433040617
1,fp16,63,1.0,contiguous256,4,3.152895927429199,2.463199943304062,0.0024631999433040617
1,bf16,16385,0.0625,original,0,25.180160522460938,19.672000408172607,0.01967200040817261
1,bf16,16385,0.0625,original,1,25.180160522460938,19.672000408172607,0.01967200040817261
1,bf16,16385,0.0625,original,2,25.162752151489258,19.658400118350983,0.01965840011835098
1,bf16,16385,0.0625,original,3,24.443904876708984,19.096800684928894,0.019096800684928895
1,bf16,16385,0.0625,original,4,20.758527755737305,16.21759980916977,0.01621759980916977
1,bf16,16385,0.0625,contiguous256,0,23.234560012817383,18.15200001001358,0.01815200001001358
1,bf16,16385,0.0625,contiguous256,1,23.197696685791016,18.12320053577423,0.01812320053577423
1,bf16,16385,0.0625,contiguous256,2,23.196672439575195,18.12240034341812,0.01812240034341812
1,bf16,16385,0.0625,contiguous256,3,19.744768142700195,15.425600111484528,0.015425600111484528
1,bf16,16385,0.0625,contiguous256,4,19.41708755493164,15.169599652290344,0.015169599652290344
1,fp16,16,1.0,original,0,3.126271963119507,2.4423999711871147,0.0024423999711871147
1,fp16,16,1.0,original,1,3.123199939727783,2.4399999529123306,0.0024399999529123306
1,fp16,16,1.0,original,2,3.123199939727783,2.4399999529123306,0.0024399999529123306
1,fp16,16,1.0,original,3,3.1242239475250244,2.4407999590039253,0.0024407999590039253
1,fp16,16,1.0,original,4,3.122175931930542,2.439199946820736,0.002439199946820736
1,fp16,16,1.0,contiguous256,0,2.9521920680999756,2.306400053203106,0.002306400053203106
1,fp16,16,1.0,contiguous256,1,2.953216075897217,2.3072000592947006,0.002307200059294701
1,fp16,16,1.0,contiguous256,2,2.9521920680999756,2.306400053203106,0.002306400053203106
1,fp16,16,1.0,contiguous256,3,2.9511680603027344,2.3056000471115112,0.0023056000471115114
1,fp16,16,1.0,contiguous256,4,2.9511680603027344,2.3056000471115112,0.0023056000471115114
1,fp16,258,0.0625,original,0,3.2819199562072754,2.563999965786934,0.002563999965786934
1,fp16,258,0.0625,original,1,3.280895948410034,2.563199959695339,0.002563199959695339
1,fp16,258,0.0625,original,2,3.280895948410034,2.563199959695339,0.002563199959695339
1,fp16,258,0.0625,original,3,3.2819199562072754,2.563999965786934,0.002563999965786934
1,fp16,258,0.0625,original,4,3.280895948410034,2.563199959695339,0.002563199959695339
1,fp16,258,0.0625,contiguous256,0,3.111936092376709,2.431200072169304,0.002431200072169304
1,fp16,258,0.0625,contiguous256,1,3.1088640689849854,2.42880005389452,0.00242880005389452
1,fp16,258,0.0625,contiguous256,2,3.107840061187744,2.428000047802925,0.0024280000478029253
1,fp16,258,0.0625,contiguous256,3,3.107840061187744,2.428000047802925,0.0024280000478029253
1,fp16,258,0.0625,contiguous256,4,3.106816053390503,2.4272000417113304,0.0024272000417113306
1,fp16,63,0.0625,original,0,3.196928024291992,2.497600018978119,0.002497600018978119
1,fp16,63,0.0625,original,1,3.1928319931030273,2.49439999461174,0.00249439999461174
1,fp16,63,0.0625,original,2,3.1938560009002686,2.495200000703335,0.002495200000703335
1,fp16,63,0.0625,original,3,3.1928319931030273,2.49439999461174,0.00249439999461174
1,fp16,63,0.0625,original,4,3.191807985305786,2.4935999885201454,0.0024935999885201455
1,fp16,63,0.0625,contiguous256,0,3.0248959064483643,2.3631999269127846,0.0023631999269127847
1,fp16,63,0.0625,contiguous256,1,3.022847890853882,2.361599914729595,0.0023615999147295953
1,fp16,63,0.0625,contiguous256,2,3.027967929840088,2.3655999451875687,0.0023655999451875688
1,fp16,63,0.0625,contiguous256,3,3.0218238830566406,2.3607999086380005,0.0023607999086380006
1,fp16,63,0.0625,contiguous256,4,3.023871898651123,2.36239992082119,0.00236239992082119
1,bf16,65,0.0625,original,0,4.1451520919799805,3.2384000718593597,0.00323840007185936
1,bf16,65,0.0625,original,1,4.143104076385498,3.2368000596761703,0.0032368000596761704
1,bf16,65,0.0625,original,2,4.141056060791016,3.235200047492981,0.003235200047492981
1,bf16,65,0.0625,original,3,4.149248123168945,3.2416000962257385,0.0032416000962257386
1,bf16,65,0.0625,original,4,4.142079830169678,3.2359998673200607,0.0032359998673200606
1,bf16,65,0.0625,contiguous256,0,3.9178240299224854,3.0608000233769417,0.0030608000233769417
1,bf16,65,0.0625,contiguous256,1,3.9147520065307617,3.0584000051021576,0.0030584000051021576
1,bf16,65,0.0625,contiguous256,2,3.9127039909362793,3.056799992918968,0.003056799992918968
1,bf16,65,0.0625,contiguous256,3,3.9127039909362793,3.056799992918968,0.003056799992918968
1,bf16,65,0.0625,contiguous256,4,3.911679983139038,3.0559999868273735,0.0030559999868273735
1,bf16,63,1.0,original,0,4.125696182250977,3.2232001423835754,0.0032232001423835753
1,bf16,63,1.0,original,1,4.124671936035156,3.222399950027466,0.003222399950027466
1,bf16,63,1.0,original,2,4.123648166656494,3.221600130200386,0.003221600130200386
1,bf16,63,1.0,original,3,4.123648166656494,3.221600130200386,0.003221600130200386
1,bf16,63,1.0,original,4,4.122623920440674,3.2207999378442764,0.0032207999378442765
1,bf16,63,1.0,contiguous256,0,3.8993918895721436,3.046399913728237,0.003046399913728237
1,bf16,63,1.0,contiguous256,1,3.895296096801758,3.0432000756263733,0.0030432000756263735
1,bf16,63,1.0,contiguous256,2,3.8983678817749023,3.0455999076366425,0.0030455999076366425
1,bf16,63,1.0,contiguous256,3,3.8973441123962402,3.0448000878095627,0.003044800087809563
1,bf16,63,1.0,contiguous256,4,3.896320104598999,3.044000081717968,0.003044000081717968
1,bf16,256,0.0625,original,0,4.260863780975342,3.328799828886986,0.003328799828886986
1,bf16,256,0.0625,original,1,4.25984001159668,3.328000009059906,0.003328000009059906
1,bf16,256,0.0625,original,2,4.258815765380859,3.3271998167037964,0.0033271998167037965
1,bf16,256,0.0625,original,3,4.258815765380859,3.3271998167037964,0.0033271998167037965
1,bf16,256,0.0625,original,4,4.258815765380859,3.3271998167037964,0.0033271998167037965
