dtype,dim,rows,normalized,mode,original_target,run1_baseline128_us,run1_candidate256_us,run1_time_reduction_percent,run1_dao_us,run1_dao_over_candidate,run2_baseline128_us,run2_candidate256_us,run2_time_reduction_percent,run2_dao_us,run2_dao_over_candidate,run3_baseline128_us,run3_candidate256_us,run3_time_reduction_percent,run3_dao_us,run3_dao_over_candidate,min_time_reduction_percent,max_time_reduction_percent,stable_at_least_5_percent,any_run_regression_over_3_percent,every_run_regression_over_3_percent
bf16,16,16383,False,transform,False,3.2632000744342804,2.4407999590039253,25.2022584172357,9.471999853849411,3.880694859448815,3.2615501433610916,2.4383999407291412,25.238005440679135,9.471199661493301,3.8841863072967353,3.26399989426136,2.4399999529123306,25.24509706013639,9.471199661493301,3.8816392804387903,25.2022584172357,25.24509706013639,True,False,False
bf16,16,16383,True,transform,False,2.9920000582933426,2.2312000393867493,25.427807623124142,8.657500147819519,3.8801989938109958,2.988800033926964,2.2304000332951546,25.374732067148454,8.6559496819973,3.880895602933232,2.9896000400185585,2.2328000515699387,25.314422608982902,8.656799793243408,3.8771047981464313,25.314422608982902,25.427807623124142,True,False,False
bf16,16,16384,False,transform,True,2.9928000643849373,2.237600088119507,25.233893344647285,8.659200370311737,3.869860577986026,2.991200052201748,2.2352000698447227,25.27413643900388,8.658400177955627,3.873657796797187,2.9928000643849373,2.236800082027912,25.260624368250063,8.659999817609787,3.8716020654642134,25.233893344647285,25.27413643900388,True,False,False
bf16,16,16384,True,transform,True,2.993600070476532,2.2360000759363174,25.307321509369718,8.65359976887703,3.8701249888166322,2.9896000400185585,2.2336000576615334,25.287662972881552,8.65200012922287,3.873567293099499,2.9928000643849373,2.2350750863552094,25.318262554416616,8.654399961233139,3.872084662420034,25.287662972881552,25.318262554416616,True,False,False
bf16,16,16385,False,transform,False,2.9872000217437744,2.2328000515699387,25.254417671484074,8.656799793243408,3.8771047981464313,2.9839999973773956,2.2304000332951546,25.254690507525858,8.65517482161522,3.880548194230527,2.9864000156521797,2.232775092124939,25.235230363560714,8.657500147819519,3.8774618090083357,25.235230363560714,25.254690507525858,True,False,False
bf16,16,16385,True,transform,False,2.996000088751316,2.237600088119507,25.313750940104207,8.658400177955627,3.8695029661141107,2.9951749369502068,2.235949970781803,25.348267869170716,8.656799793243408,3.8716428839490296,2.996799908578396,2.2360000759363174,25.387074741435846,8.659200370311737,3.8726297299814387,25.313750940104207,25.387074741435846,True,False,False
bf16,64,4095,False,fused_int4,False,1.8367249518632889,1.7095999792218208,6.921285220876672,,,1.8334999680519104,1.7071999609470367,6.8884651925610445,,,1.8366999924182892,1.7111999914050102,6.832906927169935,,,6.832906927169935,6.921285220876672,True,False,False
bf16,64,4095,False,transform,False,1.5855999663472176,1.4480000361800194,8.678098706333238,3.0168000608682632,2.083425404343848,1.5846500173211098,1.4472000300884247,8.67383874863723,3.015200048685074,2.0834715215565907,1.587199978530407,1.448800042271614,8.719754166512638,3.0208000913262367,2.085035893973222,8.67383874863723,8.719754166512638,True,False,False
bf16,64,4095,True,fused_int4,False,1.8384000286459923,1.706399954855442,7.180160559928305,,,1.8368000164628029,1.7055999487638474,7.14286076453835,,,1.839200034737587,1.7079999670386314,7.133539866297078,,,7.133539866297078,7.180160559928305,True,False,False
bf16,64,4095,True,transform,False,1.5887999907135963,1.4480000361800194,8.86203142979236,3.0184000730514526,2.084530385105734,1.5879999846220016,1.44640002399683,8.916874181134027,3.017600066959858,2.086283197521899,1.589599996805191,1.4480000361800194,8.907898899708233,3.0191250145435333,2.085031035294938,8.86203142979236,8.916874181134027,True,False,False
bf16,64,4096,False,fused_int4,True,1.8384000286459923,1.706399954855442,7.180160559928305,,,1.8351249396800995,1.7055999487638474,7.058102046110881,,,1.8495500087738037,1.7287999391555786,6.528618801622931,,,6.528618801622931,7.180160559928305,True,False,False
bf16,64,4096,False,transform,True,1.5887999907135963,1.4480000361800194,8.86203142979236,3.0160000547766685,2.082872913962905,1.5879999846220016,1.4472000300884247,8.866495963291342,3.015200048685074,2.0834715215565907,1.5920000150799751,1.448800042271614,8.994973081150837,3.0168000608682632,2.082274967453851,8.86203142979236,8.994973081150837,True,False,False
bf16,64,4096,True,fused_int4,True,1.8432000651955605,1.7055999487638474,7.465283830549019,,,2.019999921321869,1.873599924147129,7.24752489489886,,,2.016800083220005,1.8719999119639397,7.17969879418483,,,7.17969879418483,7.465283830549019,True,False,False
bf16,64,4096,True,transform,True,1.589599996805191,1.4470749534666538,8.96609484304145,3.0208000913262367,2.087521509573172,1.5887999907135963,1.4456000179052353,9.013089982713552,3.0191749334335327,2.088527183202796,1.5904000028967857,1.450399961322546,8.802819499449255,3.0208000913262367,2.0827359155275507,8.802819499449255,9.013089982713552,True,False,False
bf16,64,4097,False,fused_int4,False,2.0095249637961388,1.8751999363303185,6.684416958526884,,,2.0072000101208687,1.873599924147129,6.6560425119614575,,,2.008800022304058,1.8743999302387238,6.690566038085755,,,6.6560425119614575,6.690566038085755,True,False,False
bf16,64,4097,False,transform,False,1.7432000488042831,1.5960000455379486,8.444240428245953,3.307199850678444,2.072180298443361,1.7374750226736069,1.5887999907135963,8.556959381852359,3.3023998141288757,2.078549744103177,1.738400012254715,1.589599996805191,8.559595858293246,3.3032000064849854,2.0780070540537374,8.444240428245953,8.559595858293246,True,False,False
bf16,64,4097,True,fused_int4,False,2.0055999979376793,1.868000067770481,6.860786313755963,,,2.00399998575449,1.8672000616788864,6.826343565272008,,,2.006400004029274,1.8696000799536705,6.818178020378807,,,6.818178020378807,6.860786313755963,True,False,False
bf16,64,4097,True,transform,False,1.740800030529499,1.5855999663472176,8.915444707056574,3.296799957752228,2.079212933730782,1.7383499071002007,1.5823999419808388,8.971149276816615,3.296799957752228,2.083417643219396,1.740724965929985,1.5831999480724335,9.049391543217943,3.2976001501083374,2.0828702995621042,8.915444707056574,9.049391543217943,True,False,False
bf16,64,16383,False,transform,False,3.3055998384952545,2.9335999861359596,11.253626286738728,9.491200000047684,3.2353422569207115,3.303999826312065,2.9311999678611755,11.283289287185283,9.492000192403793,3.238264293285276,3.306400030851364,2.9335999861359596,11.27510407805713,9.493599832057953,3.236160307105335,11.253626286738728,11.283289287185283,True,False,False
